defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/XPO_0131700	abnormal BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway
http://purl.obolibrary.org/obo/XPO_0131718	abnormal JNK cascade	http://purl.obolibrary.org/obo/GO_0007254	JNK cascade
http://purl.obolibrary.org/obo/XPO_0131738	abnormal Wnt signaling pathway	http://purl.obolibrary.org/obo/GO_0016055	Wnt signaling pathway
http://purl.obolibrary.org/obo/XPO_0131726	abnormal Wnt signaling pathway, planar cell polarity pathway	http://purl.obolibrary.org/obo/GO_0060071	Wnt signaling pathway, planar cell polarity pathway
http://purl.obolibrary.org/obo/XPO_0131719	abnormal activation of meiosis	http://purl.obolibrary.org/obo/GO_0090427	activation of meiosis
http://purl.obolibrary.org/obo/XPO_0103447	abnormal anterior/posterior axis specification	http://purl.obolibrary.org/obo/GO_0009948	anterior/posterior axis specification
http://purl.obolibrary.org/obo/XPO_0131744	abnormal apical constriction	http://purl.obolibrary.org/obo/GO_0003383	apical constriction
http://purl.obolibrary.org/obo/XPO_0131698	abnormal apical constriction involved in gastrulation	http://purl.obolibrary.org/obo/GO_0003384	apical constriction involved in gastrulation
http://purl.obolibrary.org/obo/XPO_0131745	abnormal axis elongation	http://purl.obolibrary.org/obo/GO_0003401	axis elongation
http://purl.obolibrary.org/obo/XPO_0116433	abnormal axis specification	http://purl.obolibrary.org/obo/GO_0009798	axis specification
http://purl.obolibrary.org/obo/XPO_0131699	abnormal axon extension involved in axon guidance	http://purl.obolibrary.org/obo/GO_0048846	axon extension involved in axon guidance
http://purl.obolibrary.org/obo/XPO_0131742	abnormal axon extension involved in regeneration	http://purl.obolibrary.org/obo/GO_0048677	axon extension involved in regeneration
http://purl.obolibrary.org/obo/XPO_0116429	abnormal behavior	http://purl.obolibrary.org/obo/GO_0007610	behavior
http://purl.obolibrary.org/obo/XPO_0131401	abnormal behavioral response to pain	http://purl.obolibrary.org/obo/GO_0048266	behavioral response to pain
http://purl.obolibrary.org/obo/XPO_0116434	abnormal biological process	http://purl.obolibrary.org/obo/GO_0008150	biological_process
http://purl.obolibrary.org/obo/XPO_0131701	abnormal calcium ion transport	http://purl.obolibrary.org/obo/GO_0006816	calcium ion transport
http://purl.obolibrary.org/obo/XPO_0131702	abnormal canonical Wnt signaling pathway	http://purl.obolibrary.org/obo/GO_0060070	canonical Wnt signaling pathway
http://purl.obolibrary.org/obo/XPO_0133340	abnormal cell adhesion	http://purl.obolibrary.org/obo/GO_0007155	cell adhesion
http://purl.obolibrary.org/obo/XPO_0131703	abnormal cell division	http://purl.obolibrary.org/obo/GO_0051301	cell division
http://purl.obolibrary.org/obo/XPO_0131704	abnormal cell migration	http://purl.obolibrary.org/obo/GO_0016477	cell migration
http://purl.obolibrary.org/obo/XPO_0131705	abnormal chemotaxis	http://purl.obolibrary.org/obo/GO_0006935	chemotaxis
http://purl.obolibrary.org/obo/XPO_0131706	abnormal ciliary basal body organization	http://purl.obolibrary.org/obo/GO_0032053	ciliary basal body organization
http://purl.obolibrary.org/obo/XPO_0131707	abnormal cilium assembly	http://purl.obolibrary.org/obo/GO_0060271	cilium assembly
http://purl.obolibrary.org/obo/XPO_0131708	abnormal cilium disassembly	http://purl.obolibrary.org/obo/GO_0061523	cilium disassembly
http://purl.obolibrary.org/obo/XPO_0131741	abnormal convergent extension	http://purl.obolibrary.org/obo/GO_0060026	convergent extension
http://purl.obolibrary.org/obo/XPO_0131709	abnormal convergent extension involved in axis elongation	http://purl.obolibrary.org/obo/GO_0060028	convergent extension involved in axis elongation
http://purl.obolibrary.org/obo/XPO_0131747	abnormal convergent extension involved in neural plate elongation	http://purl.obolibrary.org/obo/GO_0022007	convergent extension involved in neural plate elongation
http://purl.obolibrary.org/obo/XPO_0131748	abnormal convergent extension involved in notochord morphogenesis	http://purl.obolibrary.org/obo/GO_1904126	convergent extension involved in notochord morphogenesis
http://purl.obolibrary.org/obo/XPO_0131400	abnormal courtship behavior	http://purl.obolibrary.org/obo/GO_0007619	courtship behavior
http://purl.obolibrary.org/obo/XPO_0131740	abnormal detection of nodal flow	http://purl.obolibrary.org/obo/GO_0003127	detection of nodal flow
http://purl.obolibrary.org/obo/XPO_0131722	abnormal determination of left/right symmetry	http://purl.obolibrary.org/obo/GO_0007368	determination of left/right symmetry
http://purl.obolibrary.org/obo/XPO_0133403	abnormal developmental process	http://purl.obolibrary.org/obo/GO_0032502	developmental process
http://purl.obolibrary.org/obo/XPO_0103443	abnormal dorsal/ventral axis specification	http://purl.obolibrary.org/obo/GO_0009950	dorsal/ventral axis specification
http://purl.obolibrary.org/obo/XPO_0131710	abnormal establishment of apical/basal cell polarity	http://purl.obolibrary.org/obo/GO_0035089	establishment of apical/basal cell polarity
http://purl.obolibrary.org/obo/XPO_0131711	abnormal establishment of cell polarity	http://purl.obolibrary.org/obo/GO_0030010	establishment of cell polarity
http://purl.obolibrary.org/obo/XPO_0131712	abnormal establishment of epithelial cell planar polarity	http://purl.obolibrary.org/obo/GO_0090163	establishment of epithelial cell planar polarity
http://purl.obolibrary.org/obo/XPO_0131713	abnormal establishment of epithelial cell polarity	http://purl.obolibrary.org/obo/GO_0090162	establishment of epithelial cell polarity
http://purl.obolibrary.org/obo/XPO_0131743	abnormal establishment of planar polarity	http://purl.obolibrary.org/obo/GO_0001736	establishment of planar polarity
http://purl.obolibrary.org/obo/XPO_0131714	abnormal establishment of tissue polarity	http://purl.obolibrary.org/obo/GO_0007164	establishment of tissue polarity
http://purl.obolibrary.org/obo/XPO_0131408	abnormal feeding behavior	http://purl.obolibrary.org/obo/GO_0007631	feeding behavior
http://purl.obolibrary.org/obo/XPO_0131715	abnormal fibroblast growth factor receptor signaling pathway	http://purl.obolibrary.org/obo/GO_0008543	fibroblast growth factor receptor signaling pathway
http://purl.obolibrary.org/obo/XPO_0103444	abnormal gastrulation	http://purl.obolibrary.org/obo/GO_0007369	gastrulation
http://purl.obolibrary.org/obo/XPO_0131470	abnormal heart contraction	http://purl.obolibrary.org/obo/GO_0060047	heart contraction
http://purl.obolibrary.org/obo/XPO_0131468	abnormal heart looping	http://purl.obolibrary.org/obo/GO_0001947	heart looping
http://purl.obolibrary.org/obo/XPO_0131469	abnormal heart process	http://purl.obolibrary.org/obo/GO_0003015	heart process
http://purl.obolibrary.org/obo/XPO_0131716	abnormal histone methylation	http://purl.obolibrary.org/obo/GO_0016571	histone methylation
http://purl.obolibrary.org/obo/XPO_0131717	abnormal histone phosphorylation	http://purl.obolibrary.org/obo/GO_0016572	histone phosphorylation
http://purl.obolibrary.org/obo/XPO_0133397	abnormal insulin receptor signaling pathway	http://purl.obolibrary.org/obo/GO_0008286	insulin receptor signaling pathway
http://purl.obolibrary.org/obo/XPO_0103445	abnormal left/right axis specification	http://purl.obolibrary.org/obo/GO_0070986	left/right axis specification
http://purl.obolibrary.org/obo/XPO_0131409	abnormal locomotory behavior	http://purl.obolibrary.org/obo/GO_0007626	locomotory behavior
http://purl.obolibrary.org/obo/XPO_0131407	abnormal mating behavior	http://purl.obolibrary.org/obo/GO_0007617	mating behavior
http://purl.obolibrary.org/obo/XPO_0131403	abnormal mechanosensory behavior	http://purl.obolibrary.org/obo/GO_0007638	mechanosensory behavior
http://purl.obolibrary.org/obo/XPO_0131720	abnormal mitotic spindle assembly	http://purl.obolibrary.org/obo/GO_0090307	mitotic spindle assembly
http://purl.obolibrary.org/obo/XPO_0131746	abnormal neural tube closure	http://purl.obolibrary.org/obo/GO_0001843	neural tube closure
http://purl.obolibrary.org/obo/XPO_0131721	abnormal nodal signaling pathway	http://purl.obolibrary.org/obo/GO_0038092	nodal signaling pathway
http://purl.obolibrary.org/obo/XPO_0131402	abnormal olfactory behavior	http://purl.obolibrary.org/obo/GO_0042048	olfactory behavior
http://purl.obolibrary.org/obo/XPO_0131405	abnormal optokinetic behavior	http://purl.obolibrary.org/obo/GO_0007634	optokinetic behavior
http://purl.obolibrary.org/obo/XPO_0131723	abnormal pathway-restricted SMAD protein phosphorylation	http://purl.obolibrary.org/obo/GO_0060389	pathway-restricted SMAD protein phosphorylation
http://purl.obolibrary.org/obo/XPO_0131725	abnormal phosphorylation of RNA polymerase II C-terminal domain	http://purl.obolibrary.org/obo/GO_0070816	phosphorylation of RNA polymerase II C-terminal domain
http://purl.obolibrary.org/obo/XPO_0131731	abnormal pigment accumulation in tissues	http://purl.obolibrary.org/obo/GO_0043480	pigment accumulation in tissues
http://purl.obolibrary.org/obo/XPO_0131727	abnormal protein kinase B signaling	http://purl.obolibrary.org/obo/GO_0043491	protein kinase B signaling
http://purl.obolibrary.org/obo/XPO_0131724	abnormal protein phosphorylation	http://purl.obolibrary.org/obo/GO_0006468	protein phosphorylation
http://purl.obolibrary.org/obo/XPO_0103446	abnormal proximal/distal axis specification	http://purl.obolibrary.org/obo/GO_0009946	proximal/distal axis specification
http://purl.obolibrary.org/obo/XPO_0131728	abnormal regulation of cell size	http://purl.obolibrary.org/obo/GO_0008361	regulation of cell size
http://purl.obolibrary.org/obo/XPO_0131729	abnormal regulation of growth rate	http://purl.obolibrary.org/obo/GO_0040009	regulation of growth rate
http://purl.obolibrary.org/obo/XPO_0131730	abnormal regulation of protein folding	http://purl.obolibrary.org/obo/GO_1903332	regulation of protein folding
http://purl.obolibrary.org/obo/XPO_0131732	abnormal sex differentiation	http://purl.obolibrary.org/obo/GO_0007548	sex differentiation
http://purl.obolibrary.org/obo/XPO_0131406	abnormal social behavior	http://purl.obolibrary.org/obo/GO_0035176	social behavior
http://purl.obolibrary.org/obo/XPO_0131733	abnormal somitogenesis	http://purl.obolibrary.org/obo/GO_0001756	somitogenesis
http://purl.obolibrary.org/obo/XPO_0131734	abnormal spermatogonial cell division	http://purl.obolibrary.org/obo/GO_0007284	spermatogonial cell division
http://purl.obolibrary.org/obo/XPO_0131735	abnormal spindle assembly	http://purl.obolibrary.org/obo/GO_0051225	spindle assembly
http://purl.obolibrary.org/obo/XPO_0131398	abnormal swimming behavior	http://purl.obolibrary.org/obo/GO_0036269	swimming behavior
http://purl.obolibrary.org/obo/XPO_0131736	abnormal thyroid hormone generation	http://purl.obolibrary.org/obo/GO_0006590	thyroid hormone generation
http://purl.obolibrary.org/obo/XPO_0131737	abnormal type B pancreatic cell differentiation	http://purl.obolibrary.org/obo/GO_0003309	type B pancreatic cell differentiation
http://purl.obolibrary.org/obo/XPO_0131404	abnormal visual behavior	http://purl.obolibrary.org/obo/GO_0007632	visual behavior
http://purl.obolibrary.org/obo/XPO_0131399	abnormal vocalization behavior	http://purl.obolibrary.org/obo/GO_0071625	vocalization behavior
http://purl.obolibrary.org/obo/XPO_0131739	abnormal wound healing	http://purl.obolibrary.org/obo/GO_0042060	wound healing
