?	MP:0009202 ! small external male genitalia	MP:0009203 ! external male genitalia hypoplasia	HP:0000050 ! Hypoplastic male external genitalia
?	MP:0009203 ! external male genitalia hypoplasia	MP:0009202 ! small external male genitalia	HP:0000050 ! Hypoplastic male external genitalia
?	MP:0003530 ! small clitoris	MP:0009101 ! clitoris hypoplasia	HP:0000060 ! Clitoral hypoplasia
?	MP:0009101 ! clitoris hypoplasia	MP:0003530 ! small clitoris	HP:0000060 ! Clitoral hypoplasia
?	MP:0009904 ! tongue hypoplasia	MP:0009907 ! decreased tongue size	HP:0000171 ! Microglossia
?	MP:0009907 ! decreased tongue size	MP:0009904 ! tongue hypoplasia	HP:0000171 ! Microglossia
?	MP:0000434 ! megacephaly	MP:0000439 ! enlarged cranium	HP:0000256 ! Macrocephaly
?	MP:0000439 ! enlarged cranium	MP:0000434 ! megacephaly	HP:0000256 ! Macrocephaly
?	MP:0000460 ! mandible hypoplasia	MP:0004592 ! small mandible	HP:0000347 ! Micrognathia
?	MP:0004592 ! small mandible	MP:0000460 ! mandible hypoplasia	HP:0000347 ! Micrognathia
?	MP:0001059 ! optic nerve atrophy	MP:0006219 ! optic nerve degeneration	HP:0000648 ! Optic atrophy
?	MP:0006219 ! optic nerve degeneration	MP:0001059 ! optic nerve atrophy	HP:0000648 ! Optic atrophy
?	MP:0000640 ! adrenal gland hypoplasia	MP:0002768 ! small adrenal glands	HP:0000835 ! Adrenal hypoplasia
?	MP:0002768 ! small adrenal glands	MP:0000640 ! adrenal gland hypoplasia	HP:0000835 ! Adrenal hypoplasia
?	MP:0000151 ! absent ribs	MP:0003345 ! decreased rib number	HP:0000921 ! Missing ribs
?	MP:0003345 ! decreased rib number	MP:0000151 ! absent ribs	HP:0000921 ! Missing ribs
?	MP:0001202 ! skin photosensitivity	MP:0001999 ! photosensitivity	HP:0000992 ! Cutaneous photosensitivity
?	MP:0001999 ! photosensitivity	MP:0001202 ! skin photosensitivity	HP:0000992 ! Cutaneous photosensitivity
hypotrichosis	MP:0000416 ! sparse hair	MP:0003815 ! hairless	HP:0001006 ! Hypotrichosis
hypotrichosis	MP:0003815 ! hairless	MP:0000416 ! sparse hair	HP:0001006 ! Hypotrichosis
?	MP:0000851 ! cerebellum hypoplasia	MP:0000852 ! small cerebellum	HP:0001321 ! Cerebellar hypoplasia
?	MP:0000852 ! small cerebellum	MP:0000851 ! cerebellum hypoplasia	HP:0001321 ! Cerebellar hypoplasia
?	MP:0002188 ! small heart	MP:0002740 ! heart hypoplasia	HP:0001961 ! Hypoplastic heart
?	MP:0002740 ! heart hypoplasia	MP:0002188 ! small heart	HP:0001961 ! Hypoplastic heart
?	MP:0009351 ! thin hair shaft	MP:0009930 ! fuzzy hair	HP:0002213 ! Fine hair
?	MP:0009930 ! fuzzy hair	MP:0009351 ! thin hair shaft	HP:0002213 ! Fine hair
bald	MP:0000414 ! alopecia	MP:0003815 ! hairless	HP:0002293 ! Alopecia of scalp
bald	MP:0003815 ! hairless	MP:0000414 ! alopecia	HP:0002293 ! Alopecia of scalp
?	MP:0009929 ! meningomyelocele	MP:0012547 ! spina bifida cystica	HP:0002475 ! Myelomeningocele
