defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/WBPhenotype_0000884	AWB morphology variant	http://purl.obolibrary.org/obo/WBbt_0005671	AWB
http://purl.obolibrary.org/obo/WBPhenotype_0001301	P granule abnormal	http://purl.obolibrary.org/obo/GO_0043186	P granule
http://purl.obolibrary.org/obo/WBPhenotype_0000969	accessory cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0005762	accessory cell
http://purl.obolibrary.org/obo/WBPhenotype_0001354	actin cytoskeleton filament morphology phenotype	http://purl.obolibrary.org/obo/GO_0005884	actin filament
http://purl.obolibrary.org/obo/WBPhenotype_0000300	amphid sheath cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0006754	amphid sheath cell
http://purl.obolibrary.org/obo/WBPhenotype_0001517	annulae morphology variant	http://purl.obolibrary.org/obo/GO_0060107	annuli extracellular matrix
http://purl.obolibrary.org/obo/WBPhenotype_0000180	axon morphology variant	http://purl.obolibrary.org/obo/GO_0030424	axon
http://purl.obolibrary.org/obo/WBPhenotype_0000262	axoneme morphology variant	http://purl.obolibrary.org/obo/GO_0005930	axoneme
http://purl.obolibrary.org/obo/WBPhenotype_0000913	basal lamina morphology variant	http://purl.obolibrary.org/obo/GO_0005604	basement membrane
http://purl.obolibrary.org/obo/WBPhenotype_0000898	blast cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0006783	blast cell
http://purl.obolibrary.org/obo/WBPhenotype_0002089	cell component morphology variant	http://purl.obolibrary.org/obo/GO_0005575	cellular_component
http://purl.obolibrary.org/obo/WBPhenotype_0001657	cell junction variant	http://purl.obolibrary.org/obo/GO_0030054	cell junction
http://purl.obolibrary.org/obo/WBPhenotype_0001399	cell membrane morphology variant	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane
http://purl.obolibrary.org/obo/WBPhenotype_0000533	cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0004017	Cell
http://purl.obolibrary.org/obo/WBPhenotype_0001348	chromosome morphology variant	http://purl.obolibrary.org/obo/GO_0005694	chromosome
http://purl.obolibrary.org/obo/WBPhenotype_0000615	cilia morphology variant	http://purl.obolibrary.org/obo/GO_0005929	cilium
http://purl.obolibrary.org/obo/WBPhenotype_0001526	ciliated neuron morphology variant	http://purl.obolibrary.org/obo/WBbt_0006816	ciliated neuron
http://purl.obolibrary.org/obo/WBPhenotype_0000911	coelomocyte morphology variant	http://purl.obolibrary.org/obo/WBbt_0005751	coelomocyte
http://purl.obolibrary.org/obo/WBPhenotype_0001794	cytoplasmic processing body variant	http://purl.obolibrary.org/obo/GO_0000932	P-body
http://purl.obolibrary.org/obo/WBPhenotype_0000196	distal tip cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0006865	distal tip cell
http://purl.obolibrary.org/obo/WBPhenotype_0002092	early endosome morphology variant	http://purl.obolibrary.org/obo/GO_0005769	early endosome
http://purl.obolibrary.org/obo/WBPhenotype_0000770	embryonic cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0007028	embryonic cell
http://purl.obolibrary.org/obo/WBPhenotype_0001880	endoplasmic reticulum morphology variant	http://purl.obolibrary.org/obo/GO_0005783	endoplasmic reticulum
http://purl.obolibrary.org/obo/WBPhenotype_0002090	endosome morphology variant	http://purl.obolibrary.org/obo/GO_0005768	endosome
http://purl.obolibrary.org/obo/WBPhenotype_0000899	epithelial cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0003672	epithelial cell
http://purl.obolibrary.org/obo/WBPhenotype_0000916	excretory cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0005812	excretory cell
http://purl.obolibrary.org/obo/WBPhenotype_0000917	excretory duct cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0004540	excretory duct cell
http://purl.obolibrary.org/obo/WBPhenotype_0000914	excretory gland cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0005776	excretory gland cell
http://purl.obolibrary.org/obo/WBPhenotype_0000918	excretory socket cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0004534	excretory socket cell
http://purl.obolibrary.org/obo/WBPhenotype_0001523	extracellular matrix variant	http://purl.obolibrary.org/obo/GO_0031012	extracellular matrix
http://purl.obolibrary.org/obo/WBPhenotype_0000900	germ cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0006796	germ cell
http://purl.obolibrary.org/obo/WBPhenotype_0002485	germline precursor cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0006849	germline precursor cell
http://purl.obolibrary.org/obo/WBPhenotype_0000901	gland cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0003670	gland cell
http://purl.obolibrary.org/obo/WBPhenotype_0002096	golgi apparatus morphology variant	http://purl.obolibrary.org/obo/GO_0005794	Golgi apparatus
http://purl.obolibrary.org/obo/WBPhenotype_0002240	gut granule morphology variant	http://purl.obolibrary.org/obo/GO_0044840	gut granule
http://purl.obolibrary.org/obo/WBPhenotype_0001658	intercellular junction variant	http://purl.obolibrary.org/obo/GO_0005911	cell-cell junction
http://purl.obolibrary.org/obo/WBPhenotype_0000902	intestinal cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0005792	intestinal cell
http://purl.obolibrary.org/obo/WBPhenotype_0002091	late endosome morphology variant	http://purl.obolibrary.org/obo/GO_0005770	late endosome
http://purl.obolibrary.org/obo/WBPhenotype_0002139	linker cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0005062	linker cell
http://purl.obolibrary.org/obo/WBPhenotype_0002097	lysosome morphology variant	http://purl.obolibrary.org/obo/GO_0005764	lysosome
http://purl.obolibrary.org/obo/WBPhenotype_0000927	male longitudinal muscle morphology variant	http://purl.obolibrary.org/obo/WBbt_0006909	longitudinal male muscle
http://purl.obolibrary.org/obo/WBPhenotype_0000903	marginal cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0003673	marginal cell
http://purl.obolibrary.org/obo/WBPhenotype_0001401	mitochondria morphology variant	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion
http://purl.obolibrary.org/obo/WBPhenotype_0001331	motor neuron morphology variant	http://purl.obolibrary.org/obo/WBbt_0005409	motor neuron
http://purl.obolibrary.org/obo/WBPhenotype_0000904	muscle cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0003675	muscle cell
http://purl.obolibrary.org/obo/WBPhenotype_0001398	neurite morphology variant	http://purl.obolibrary.org/obo/GO_0043005	neuron projection
http://purl.obolibrary.org/obo/WBPhenotype_0000905	neuron morphology variant	http://purl.obolibrary.org/obo/WBbt_0003679	neuron
http://purl.obolibrary.org/obo/WBPhenotype_0000972	neuronal sheath cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0005811	neuronal sheath cell
