defined_class	defined_class_label	anatomical_space	anatomical_space_label
http://purl.obolibrary.org/obo/MP_0011676	aortic arch obstruction	http://purl.obolibrary.org/obo/UBERON_0001508	arch of aorta
http://purl.obolibrary.org/obo/MP_0006134	artery occlusion	http://purl.obolibrary.org/obo/UBERON_0001637	artery
http://purl.obolibrary.org/obo/MP_0003270	intestinal obstruction	http://purl.obolibrary.org/obo/UBERON_0000160	intestine
http://purl.obolibrary.org/obo/MP_0031101	nasal obstruction	http://purl.obolibrary.org/obo/UBERON_0001707	nasal cavity
http://purl.obolibrary.org/obo/MP_0013451	nasolacrimal duct obstruction	http://purl.obolibrary.org/obo/UBERON_0002392	nasolacrimal duct
http://purl.obolibrary.org/obo/MP_0006417	rete testis obstruction	http://purl.obolibrary.org/obo/UBERON_0003959	rete testis
http://purl.obolibrary.org/obo/MP_0031143	retina artery occlusion	http://purl.obolibrary.org/obo/UBERON_0001620	central retinal artery
http://purl.obolibrary.org/obo/MP_0013497	trachea occlusion	http://purl.obolibrary.org/obo/UBERON_0003126	trachea
http://purl.obolibrary.org/obo/MP_0003587	ureter obstruction	http://purl.obolibrary.org/obo/UBERON_0000056	ureter
http://purl.obolibrary.org/obo/MP_0011491	ureteropelvic junction obstruction	http://purl.obolibrary.org/obo/UBERON_0009972	ureteropelvic junction
http://purl.obolibrary.org/obo/MP_0011492	ureterovesical junction obstruction	http://purl.obolibrary.org/obo/UBERON_0009973	ureterovesical junction
http://purl.obolibrary.org/obo/MP_0011801	urethra obstruction	http://purl.obolibrary.org/obo/UBERON_0000057	urethra
http://purl.obolibrary.org/obo/MP_0009552	urinary bladder obstruction	http://purl.obolibrary.org/obo/UBERON_0001255	urinary bladder
http://purl.obolibrary.org/obo/MP_0006137	venoocclusion	http://purl.obolibrary.org/obo/UBERON_0001638	vein
