defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/MP_0002318	hypercapnia	http://purl.obolibrary.org/obo/CHEBI_16526	carbon dioxide
http://purl.obolibrary.org/obo/MP_0002319	hyperoxia	http://purl.obolibrary.org/obo/CHEBI_25805	oxygen atom
http://purl.obolibrary.org/obo/MP_0031226	increased CXCL10 level	http://purl.obolibrary.org/obo/PR_000006064	C-X-C motif chemokine 10
http://purl.obolibrary.org/obo/MP_0030676	increased acetylcholine level	http://purl.obolibrary.org/obo/CHEBI_15355	acetylcholine
http://purl.obolibrary.org/obo/MP_0004892	increased adiponectin level	http://purl.obolibrary.org/obo/PR_000003777	adiponectin
http://purl.obolibrary.org/obo/MP_0030761	increased adrenaline level	http://purl.obolibrary.org/obo/CHEBI_33568	adrenaline
http://purl.obolibrary.org/obo/MP_0005129	increased adrenocorticotropin level	http://purl.obolibrary.org/obo/CHEBI_3892	corticotropin
http://purl.obolibrary.org/obo/MP_0031640	increased alanine level	http://purl.obolibrary.org/obo/CHEBI_16449	alanine
http://purl.obolibrary.org/obo/MP_0012602	increased alpha-fetoprotein level	http://purl.obolibrary.org/obo/PR_000003809	alpha-fetoprotein
http://purl.obolibrary.org/obo/MP_0021133	increased amino acid betaine level	http://purl.obolibrary.org/obo/CHEBI_22860	amino-acid betaine
http://purl.obolibrary.org/obo/MP_0014527	increased amino acid level	http://purl.obolibrary.org/obo/CHEBI_33709	amino acid
http://purl.obolibrary.org/obo/MP_0030764	increased anandamide level	http://purl.obolibrary.org/obo/CHEBI_2700	anandamide
http://purl.obolibrary.org/obo/MP_0031229	increased angiotensin II level	http://purl.obolibrary.org/obo/PR_000036009	angiotensin II
http://purl.obolibrary.org/obo/MP_0030664	increased arginine level	http://purl.obolibrary.org/obo/CHEBI_29016	arginine
http://purl.obolibrary.org/obo/MP_0030730	increased beta-alanine level	http://purl.obolibrary.org/obo/CHEBI_16958	beta-alanine
http://purl.obolibrary.org/obo/MP_0004789	increased bile salt level	http://purl.obolibrary.org/obo/CHEBI_22868	bile salt
http://purl.obolibrary.org/obo/MP_0014537	increased calcium level	http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom
http://purl.obolibrary.org/obo/MP_0020582	increased ceramide level	http://purl.obolibrary.org/obo/CHEBI_17761	ceramide
http://purl.obolibrary.org/obo/MP_0003982	increased cholesterol level	http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol
http://purl.obolibrary.org/obo/MP_0021128	increased choline level	http://purl.obolibrary.org/obo/CHEBI_15354	choline
http://purl.obolibrary.org/obo/MP_0014539	increased copper level	http://purl.obolibrary.org/obo/CHEBI_28694	copper atom
http://purl.obolibrary.org/obo/MP_0010061	increased creatine level	http://purl.obolibrary.org/obo/CHEBI_16919	creatine
http://purl.obolibrary.org/obo/MP_0030684	increased cystathionine level	http://purl.obolibrary.org/obo/CHEBI_17755	cystathionine
http://purl.obolibrary.org/obo/MP_0001906	increased dopamine level	http://purl.obolibrary.org/obo/CHEBI_18243	dopamine
http://purl.obolibrary.org/obo/MP_0011287	increased erythropoietin level	http://purl.obolibrary.org/obo/PR_000007141	erythropoietin
http://purl.obolibrary.org/obo/MP_0005281	increased fatty acids level	http://purl.obolibrary.org/obo/CHEBI_35366	fatty acid
http://purl.obolibrary.org/obo/MP_0005131	increased follicle stimulating hormone level	http://purl.obolibrary.org/obo/CHEBI_81569	Follicle stimulating hormone
