defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/MP_0030566	abnormal A band morphology	http://purl.obolibrary.org/obo/GO_0031672	A band
http://purl.obolibrary.org/obo/MP_0008888	abnormal Cajal body morphology	http://purl.obolibrary.org/obo/GO_0015030	Cajal body
http://purl.obolibrary.org/obo/MP_0011743	abnormal Golgi apparatus morphology	http://purl.obolibrary.org/obo/GO_0005794	Golgi apparatus
http://purl.obolibrary.org/obo/MP_0030953	abnormal Golgi cisterna morphology	http://purl.obolibrary.org/obo/GO_0031985	Golgi cisterna
http://purl.obolibrary.org/obo/MP_0030952	abnormal Golgi stack morphology	http://purl.obolibrary.org/obo/GO_0005795	Golgi stack
http://purl.obolibrary.org/obo/MP_0030568	abnormal H zone morphology	http://purl.obolibrary.org/obo/GO_0031673	H zone
http://purl.obolibrary.org/obo/MP_0030567	abnormal I band morphology	http://purl.obolibrary.org/obo/GO_0031674	I band
http://purl.obolibrary.org/obo/MP_0004094	abnormal M line morphology	http://purl.obolibrary.org/obo/GO_0031430	M band
http://purl.obolibrary.org/obo/MP_0008886	abnormal PML bodies	http://purl.obolibrary.org/obo/GO_0016605	PML body
http://purl.obolibrary.org/obo/MP_0004091	abnormal Z line morphology	http://purl.obolibrary.org/obo/GO_0030018	Z disc
http://purl.obolibrary.org/obo/MP_0008898	abnormal acrosome morphology	http://purl.obolibrary.org/obo/GO_0001669	acrosomal vesicle
http://purl.obolibrary.org/obo/MP_0020849	abnormal actin cytoskeleton morphology	http://purl.obolibrary.org/obo/GO_0015629	actin cytoskeleton
http://purl.obolibrary.org/obo/MP_0010813	abnormal alveolar lamellar body morphology	http://purl.obolibrary.org/obo/GO_0097208	alveolar lamellar body
http://purl.obolibrary.org/obo/MP_0020360	abnormal asymmetric synapse morphology	http://purl.obolibrary.org/obo/GO_0032279	asymmetric synapse
http://purl.obolibrary.org/obo/MP_0010739	abnormal axolemma morphology	http://purl.obolibrary.org/obo/GO_0030673	axolemma
http://purl.obolibrary.org/obo/MP_0010733	abnormal axon initial segment morphology	http://purl.obolibrary.org/obo/GO_0043194	axon initial segment
http://purl.obolibrary.org/obo/MP_0005404	abnormal axon morphology	http://purl.obolibrary.org/obo/GO_0030424	axon
http://purl.obolibrary.org/obo/MP_0004272	abnormal basement membrane morphology	http://purl.obolibrary.org/obo/GO_0005604	basement membrane
http://purl.obolibrary.org/obo/MP_0020378	abnormal cell cytoskeleton morphology	http://purl.obolibrary.org/obo/GO_0005856	cytoskeleton
http://purl.obolibrary.org/obo/MP_0003111	abnormal cell nucleus morphology	http://purl.obolibrary.org/obo/GO_0005634	cell nucleus
http://purl.obolibrary.org/obo/MP_0003111	abnormal cell nucleus morphology	http://purl.obolibrary.org/obo/GO_0005634	nucleus
http://purl.obolibrary.org/obo/MP_0030943	abnormal centrosome morphology	http://purl.obolibrary.org/obo/GO_0005813	centrosome
http://purl.obolibrary.org/obo/MP_0031620	abnormal chromatoid body morphology	http://purl.obolibrary.org/obo/GO_0033391	chromatoid body
http://purl.obolibrary.org/obo/MP_0003702	abnormal chromosome morphology	http://purl.obolibrary.org/obo/GO_0005694	chromosome
http://purl.obolibrary.org/obo/MP_0013202	abnormal cilium morphology	http://purl.obolibrary.org/obo/GO_0005929	cilium
