defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/MP_0031225	decreased CXCL10 level	http://purl.obolibrary.org/obo/PR_000006064	C-X-C motif chemokine 10
http://purl.obolibrary.org/obo/MP_0021012	decreased acetylcholine level	http://purl.obolibrary.org/obo/CHEBI_15355	acetylcholine
http://purl.obolibrary.org/obo/MP_0004893	decreased adiponectin level	http://purl.obolibrary.org/obo/PR_000003777	adiponectin
http://purl.obolibrary.org/obo/MP_0030762	decreased adrenaline level	http://purl.obolibrary.org/obo/CHEBI_33568	adrenaline
http://purl.obolibrary.org/obo/MP_0005128	decreased adrenocorticotropin level	http://purl.obolibrary.org/obo/CHEBI_3892	corticotropin
http://purl.obolibrary.org/obo/MP_0031639	decreased alanine level	http://purl.obolibrary.org/obo/CHEBI_16449	alanine
http://purl.obolibrary.org/obo/MP_0012601	decreased alpha-fetoprotein level	http://purl.obolibrary.org/obo/PR_000003809	alpha-fetoprotein
http://purl.obolibrary.org/obo/MP_0021134	decreased amino acid betaine level	http://purl.obolibrary.org/obo/CHEBI_22860	amino-acid betaine
http://purl.obolibrary.org/obo/MP_0014528	decreased amino acid level	http://purl.obolibrary.org/obo/CHEBI_33709	amino acid
http://purl.obolibrary.org/obo/MP_0030765	decreased anandamide level	http://purl.obolibrary.org/obo/CHEBI_2700	anandamide
http://purl.obolibrary.org/obo/MP_0031228	decreased angiotensin II level	http://purl.obolibrary.org/obo/PR_000036009	angiotensin II
http://purl.obolibrary.org/obo/MP_0030665	decreased arginine level	http://purl.obolibrary.org/obo/CHEBI_29016	arginine
http://purl.obolibrary.org/obo/MP_0014529	decreased beta-alanine level	http://purl.obolibrary.org/obo/CHEBI_16958	beta-alanine
http://purl.obolibrary.org/obo/MP_0012338	decreased bile salt level	http://purl.obolibrary.org/obo/CHEBI_22868	bile salt
http://purl.obolibrary.org/obo/MP_0014538	decreased calcium level	http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom
http://purl.obolibrary.org/obo/MP_0020583	decreased ceramide level	http://purl.obolibrary.org/obo/CHEBI_17761	ceramide
http://purl.obolibrary.org/obo/MP_0003983	decreased cholesterol level	http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol
http://purl.obolibrary.org/obo/MP_0030753	decreased choline level	http://purl.obolibrary.org/obo/CHEBI_15354	choline
http://purl.obolibrary.org/obo/MP_0014540	decreased copper level	http://purl.obolibrary.org/obo/CHEBI_28694	copper atom
http://purl.obolibrary.org/obo/MP_0010062	decreased creatine level	http://purl.obolibrary.org/obo/CHEBI_16919	creatine
http://purl.obolibrary.org/obo/MP_0030685	decreased cystathionine level	http://purl.obolibrary.org/obo/CHEBI_17755	cystathionine
http://purl.obolibrary.org/obo/MP_0005643	decreased dopamine level	http://purl.obolibrary.org/obo/CHEBI_18243	dopamine
http://purl.obolibrary.org/obo/MP_0011288	decreased erythropoietin level	http://purl.obolibrary.org/obo/PR_000007141	erythropoietin
http://purl.obolibrary.org/obo/MP_0005282	decreased fatty acids level	http://purl.obolibrary.org/obo/CHEBI_35366	fatty acid
http://purl.obolibrary.org/obo/MP_0005130	decreased follicle stimulating hormone level	http://purl.obolibrary.org/obo/CHEBI_81569	Follicle stimulating hormone
http://purl.obolibrary.org/obo/MP_0030733	decreased gamma-aminobutyric acid level	http://purl.obolibrary.org/obo/CHEBI_16865	gamma-aminobutyric acid
http://purl.obolibrary.org/obo/MP_0031560	decreased ganglioside level	http://purl.obolibrary.org/obo/CHEBI_28892	ganglioside
http://purl.obolibrary.org/obo/MP_0002868	decreased glutamic acid decarboxylase level	http://purl.obolibrary.org/obo/PR_000007785	glutamate decarboxylase 1
http://purl.obolibrary.org/obo/MP_0030737	decreased glutamic acid level	http://purl.obolibrary.org/obo/CHEBI_18237	glutamic acid
http://purl.obolibrary.org/obo/MP_0030707	decreased glutamine level	http://purl.obolibrary.org/obo/CHEBI_28300	glutamine
http://purl.obolibrary.org/obo/MP_0012604	decreased glutathione level	http://purl.obolibrary.org/obo/CHEBI_16856	glutathione
http://purl.obolibrary.org/obo/MP_0003440	decreased glycerol level	http://purl.obolibrary.org/obo/CHEBI_17754	glycerol
http://purl.obolibrary.org/obo/MP_0021130	decreased glycerophosphocholine level	http://purl.obolibrary.org/obo/CHEBI_36313	glycerophosphocholine
http://purl.obolibrary.org/obo/MP_0030659	decreased glycine level	http://purl.obolibrary.org/obo/CHEBI_15428	glycine
http://purl.obolibrary.org/obo/MP_0005439	decreased glycogen level	http://purl.obolibrary.org/obo/CHEBI_28087	glycogen
http://purl.obolibrary.org/obo/MP_0030756	decreased histamine level	http://purl.obolibrary.org/obo/CHEBI_18295	histamine
http://purl.obolibrary.org/obo/MP_0014430	decreased hyaluronic acid level	http://purl.obolibrary.org/obo/CHEBI_16336	hyaluronic acid
http://purl.obolibrary.org/obo/MP_0030679	decreased hydroxyproline level	http://purl.obolibrary.org/obo/CHEBI_24741	hydroxyproline
http://purl.obolibrary.org/obo/MP_0014542	decreased iron level	http://purl.obolibrary.org/obo/CHEBI_18248	iron atom
http://purl.obolibrary.org/obo/MP_0030713	decreased isoleucine level	http://purl.obolibrary.org/obo/CHEBI_24898	isoleucine
http://purl.obolibrary.org/obo/MP_0030748	decreased leucine level	http://purl.obolibrary.org/obo/CHEBI_25017	leucine
http://purl.obolibrary.org/obo/MP_0009817	decreased leukotriene level	http://purl.obolibrary.org/obo/CHEBI_25029	leukotriene
