defined_class	defined_class_label	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/HP_0002932	Aldehyde oxidase deficiency	http://purl.obolibrary.org/obo/GO_0004031	aldehyde oxidase activity
http://purl.obolibrary.org/obo/HP_0003568	Decreased glucosephosphate isomerase activity	http://purl.obolibrary.org/obo/GO_0004347	glucose-6-phosphate isomerase activity
http://purl.obolibrary.org/obo/HP_0003209	Decreased pyruvate carboxylase activity	http://purl.obolibrary.org/obo/GO_0004736	pyruvate carboxylase activity
http://purl.obolibrary.org/obo/HP_0003258	Glyoxalase deficiency	http://purl.obolibrary.org/obo/GO_0019172	glyoxalase III activity
http://purl.obolibrary.org/obo/HP_0003353	Propionyl-CoA carboxylase deficiency	http://purl.obolibrary.org/obo/GO_0004658	propionyl-CoA carboxylase activity
http://purl.obolibrary.org/obo/HP_0040142	Reduced 5-oxoprolinase activity	http://purl.obolibrary.org/obo/GO_0017168	5-oxoprolinase (ATP-hydrolyzing) activity
http://purl.obolibrary.org/obo/HP_0003655	Reduced activity of N-acetylglucosaminyltransferase II	http://purl.obolibrary.org/obo/GO_0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
http://purl.obolibrary.org/obo/HP_0012380	Reduced carnitine O-palmitoyltransferase activity	http://purl.obolibrary.org/obo/GO_0004095	carnitine O-palmitoyltransferase activity
http://purl.obolibrary.org/obo/HP_0012517	Reduced catalase activity	http://purl.obolibrary.org/obo/GO_0004096	catalase activity
http://purl.obolibrary.org/obo/HP_0003654	Reduced dihydropyrimidine dehydrogenase activity	http://purl.obolibrary.org/obo/GO_0017113	dihydropyrimidine dehydrogenase (NADP+) activity
http://purl.obolibrary.org/obo/HP_0003534	Reduced xanthine dehydrogenase activity	http://purl.obolibrary.org/obo/GO_0004854	xanthine dehydrogenase activity
