				NV notes
<http://purl.obolibrary.org/obo/HP_0001002>	Decreased subcutaneous fat	<http://purl.obolibrary.org/obo/HP_0003758>	Reduced subcutaneous adipose tissue	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0011942>	Increased urinary sulfite	<http://purl.obolibrary.org/obo/HP_0012613>	Increased urinary sulfate	"logical def is equiv, and this looks like a duplicate in HP in general"
<http://purl.obolibrary.org/obo/HP_0000872>	Hashimoto thyroiditis	<http://purl.obolibrary.org/obo/HP_0100646>	Thyroiditis	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0005921>	Abnormal ossification of hand bones	<http://purl.obolibrary.org/obo/HP_0010660>	Abnormal hand bone ossification	"logical def is equiv, and this looks like a duplicate in HP in general"
<http://purl.obolibrary.org/obo/HP_0007016>	Corticospinal tract hypoplasia	<http://purl.obolibrary.org/obo/HP_0007348>	Hypoplasia of the pyramidal tract	"logical def is equiv, and this looks like a duplicate in HP in general"
<http://purl.obolibrary.org/obo/HP_0001578>	Hypercortisolism	<http://purl.obolibrary.org/obo/HP_0003118>	Increased circulating cortisol level	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0007363>	Aplasia/Hypoplasia of the pyramidal tract	<http://purl.obolibrary.org/obo/HP_0007365>	Aplasia/Hypoplasia involving the corticospinal tracts	"logical def is equiv, and this looks like a duplicate in HP in general"
<http://purl.obolibrary.org/obo/HP_0008163>	Decreased circulating cortisol level	<http://purl.obolibrary.org/obo/HP_0008220>	Hypocortisolemia	"logical def is equiv, and this looks like a duplicate in HP in general"
<http://purl.obolibrary.org/obo/HP_0001913>	Granulocytopenia	<http://purl.obolibrary.org/obo/HP_0012234>	Agranulocytosis	"I think these are infered to be equiv because agranulocytosis is a subclass of granulocytopenia, which is in the blood, so the child is inheriting the part of the blood, and the logical defs are otherwise the same"
<http://purl.obolibrary.org/obo/HP_0001022>	Albinism	<http://purl.obolibrary.org/obo/HP_0007513>	Generalized hypopigmentation	"the logical defs are equiv except 'generalized hypopigmentation' has 'generalized' in the logical def, but it is the parent, so I think the child is inheriting that modifier"
<http://purl.obolibrary.org/obo/HP_0000003>	Multicystic kidney dysplasia	<http://purl.obolibrary.org/obo/HP_0000113>	Polycystic kidney dysplasia	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0009815>	Aplasia/hypoplasia of the extremities	<http://purl.obolibrary.org/obo/HP_0045060>	Aplasia/hypoplasia involving bones of the extremities	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0001166>	Arachnodactyly	<http://purl.obolibrary.org/obo/HP_0100807>	Long fingers	"MP class is equiv to HP:0001166, which is causing HP:0001166 to be equiv to HP_0100807"
<http://purl.obolibrary.org/obo/HP_0005453>	Absent/hypoplastic paranasal sinuses	<http://purl.obolibrary.org/obo/HP_0009120>	Aplasia/Hypoplasia involving the sinuses	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0000272>	Malar flattening	<http://purl.obolibrary.org/obo/HP_0010669>	Hypoplasia of the zygomatic bone	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0000711>	Restlessness	<http://purl.obolibrary.org/obo/HP_0000713>	Agitation	the logical defs are similar
<http://purl.obolibrary.org/obo/HP_0001539>	Omphalocele	<http://purl.obolibrary.org/obo/HP_0010866>	Abdominal wall defect	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0004299>	Hernia of the abdominal wall	<http://purl.obolibrary.org/obo/HP_0010866>	Abdominal wall defect	not sure?
<http://purl.obolibrary.org/obo/HP_0009635>	Synostosis of thumb phalanx	<http://purl.obolibrary.org/obo/HP_0009656>	Symphalangism of the thumb	logical defs are the same. I think it is wrong for HP_0009635
<http://purl.obolibrary.org/obo/HP_0005920>	Abnormality of the epiphyses of the phalanges of the hand	<http://purl.obolibrary.org/obo/HP_0005924>	Abnormality of the epiphyses of the hand	logical defs are basically the same
<http://purl.obolibrary.org/obo/HP_0002924>	Decreased circulating aldosterone level	<http://purl.obolibrary.org/obo/HP_0004319>	Hypoaldosteronism	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0010674>	Abnormality of the curvature of the vertebral column	<http://purl.obolibrary.org/obo/HP_0100795>	Abnormally straight spine	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0002493>	Upper motor neuron dysfunction	<http://purl.obolibrary.org/obo/HP_0007256>	Abnormal pyramidal signs	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0003953>	Absent forearm bone	<http://purl.obolibrary.org/obo/HP_0009822>	Aplasia involving forearm bones	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0000126>	Hydronephrosis	<http://purl.obolibrary.org/obo/HP_0010945>	Fetal pyelectasis	"string matching on synonym, I think. Synonym of HP_0010945 is 'Mild fetal hydronephrosis'"
<http://purl.obolibrary.org/obo/HP_0000126>	Hydronephrosis	<http://purl.obolibrary.org/obo/HP_0010946>	Dilatation of the renal pelvis	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0010945>	Fetal pyelectasis	<http://purl.obolibrary.org/obo/HP_0010946>	Dilatation of the renal pelvis	"string matching on synonym, I think. Synonym of HP_0010945 is 'Mild fetal hydronephrosis'"
<http://purl.obolibrary.org/obo/HP_0002539>	Cortical dysplasia	<http://purl.obolibrary.org/obo/HP_0006930>	Frontoparietal cortical dysplasia	the logical defs are similar
<http://purl.obolibrary.org/obo/HP_0000175>	Cleft palate	<http://purl.obolibrary.org/obo/HP_0410004>	Cleft secondary palate	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0001220>	Interphalangeal joint contracture of finger	<http://purl.obolibrary.org/obo/HP_0100490>	Camptodactyly of finger	logical defs are equiv
<http://purl.obolibrary.org/obo/HP_0001842>	Foot acroosteolysis	<http://purl.obolibrary.org/obo/HP_0010177>	Osteolytic defects of the phalanges of the toes	logical defs are basically the same
<http://purl.obolibrary.org/obo/HP_0001539>	Omphalocele	<http://purl.obolibrary.org/obo/HP_0004299>	Hernia of the abdominal wall	not sure?
