defined_class	defined_class_label	location	location_label
http://purl.obolibrary.org/obo/DDPHENO_0000608	aberrant protein localization to actin wave	http://purl.obolibrary.org/obo/GO_0062201	actin wave
http://purl.obolibrary.org/obo/DDPHENO_0000674	aberrant protein localization to apical plasma membrane	http://purl.obolibrary.org/obo/GO_0016324	apical plasma membrane
http://purl.obolibrary.org/obo/DDPHENO_0000632	aberrant protein localization to autophagosome	http://purl.obolibrary.org/obo/GO_0005776	autophagosome
http://purl.obolibrary.org/obo/DDPHENO_0000640	aberrant protein localization to basolateral plasma membrane	http://purl.obolibrary.org/obo/GO_0016323	basolateral plasma membrane
http://purl.obolibrary.org/obo/DDPHENO_0001507	aberrant protein localization to cell cortex	http://purl.obolibrary.org/obo/GO_0005938	cell cortex
http://purl.obolibrary.org/obo/DDPHENO_0000672	aberrant protein localization to cell periphery	http://purl.obolibrary.org/obo/GO_0071944	cell periphery
http://purl.obolibrary.org/obo/DDPHENO_0001511	aberrant protein localization to cell surface	http://purl.obolibrary.org/obo/GO_0009986	cell surface
http://purl.obolibrary.org/obo/DDPHENO_0000636	aberrant protein localization to cell-cell contact zone	http://purl.obolibrary.org/obo/GO_0044291	cell-cell contact zone
http://purl.obolibrary.org/obo/DDPHENO_0000624	aberrant protein localization to centrosome	http://purl.obolibrary.org/obo/GO_0005813	centrosome
http://purl.obolibrary.org/obo/DDPHENO_0001408	aberrant protein localization to clathrin-coated pit	http://purl.obolibrary.org/obo/GO_0005905	clathrin-coated pit
http://purl.obolibrary.org/obo/DDPHENO_0000644	aberrant protein localization to cleavage furrow	http://purl.obolibrary.org/obo/GO_0032154	cleavage furrow
http://purl.obolibrary.org/obo/DDPHENO_0000519	aberrant protein localization to contractile vacuole membrane	http://purl.obolibrary.org/obo/GO_0031164	contractile vacuolar membrane
http://purl.obolibrary.org/obo/DDPHENO_0001389	aberrant protein localization to cytoplasm	http://purl.obolibrary.org/obo/GO_0005737	cytoplasm
http://purl.obolibrary.org/obo/DDPHENO_0000668	aberrant protein localization to cytoplasmic vesicle	http://purl.obolibrary.org/obo/GO_0031410	cytoplasmic vesicle
http://purl.obolibrary.org/obo/DDPHENO_0000676	aberrant protein localization to endolysosome	http://purl.obolibrary.org/obo/GO_0036019	endolysosome
http://purl.obolibrary.org/obo/DDPHENO_0000616	aberrant protein localization to filopodium	http://purl.obolibrary.org/obo/GO_0030175	filopodium
http://purl.obolibrary.org/obo/DDPHENO_0000604	aberrant protein localization to leading edge	http://purl.obolibrary.org/obo/GO_0031252	cell leading edge
http://purl.obolibrary.org/obo/DDPHENO_0000656	aberrant protein localization to lysosomal membrane	http://purl.obolibrary.org/obo/GO_0005765	lysosomal membrane
http://purl.obolibrary.org/obo/DDPHENO_0000648	aberrant protein localization to lysosome	http://purl.obolibrary.org/obo/GO_0005764	lysosome
http://purl.obolibrary.org/obo/DDPHENO_0000628	aberrant protein localization to macropinosome	http://purl.obolibrary.org/obo/GO_0044354	macropinosome
http://purl.obolibrary.org/obo/DDPHENO_0001513	aberrant protein localization to microtubule organizing center	http://purl.obolibrary.org/obo/GO_0005815	microtubule organizing center
http://purl.obolibrary.org/obo/DDPHENO_0001514	aberrant protein localization to microtubules	http://purl.obolibrary.org/obo/GO_0005874	microtubule
http://purl.obolibrary.org/obo/DDPHENO_0000796	aberrant protein localization to mitotic actomyosin contractile ring	http://purl.obolibrary.org/obo/GO_0110085	mitotic actomyosin contractile ring
http://purl.obolibrary.org/obo/DDPHENO_0000660	aberrant protein localization to mitotic spindle	http://purl.obolibrary.org/obo/GO_0072686	mitotic spindle
http://purl.obolibrary.org/obo/DDPHENO_0000664	aberrant protein localization to mitotic spindle midzone	http://purl.obolibrary.org/obo/GO_1990023	mitotic spindle midzone
http://purl.obolibrary.org/obo/DDPHENO_0001427	aberrant protein localization to nuclear envelope	http://purl.obolibrary.org/obo/GO_0005635	nuclear envelope
http://purl.obolibrary.org/obo/DDPHENO_0000104	aberrant protein localization to nucleolus	http://purl.obolibrary.org/obo/GO_0005730	nucleolus
http://purl.obolibrary.org/obo/DDPHENO_0001336	aberrant protein localization to nucleus	http://purl.obolibrary.org/obo/GO_0005634	cell nucleus
http://purl.obolibrary.org/obo/DDPHENO_0001336	aberrant protein localization to nucleus	http://purl.obolibrary.org/obo/GO_0005634	nucleus
http://purl.obolibrary.org/obo/DDPHENO_0000620	aberrant protein localization to phagocytic vesicle	http://purl.obolibrary.org/obo/GO_0045335	phagocytic vesicle
http://purl.obolibrary.org/obo/DDPHENO_0001335	aberrant protein localization to plasma membrane	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane
http://purl.obolibrary.org/obo/DDPHENO_0000652	aberrant protein localization to post-lysosomal vacuole	http://purl.obolibrary.org/obo/GO_0032195	post-lysosomal vacuole
http://purl.obolibrary.org/obo/DDPHENO_0001412	aberrant protein localization to pseudopodium	http://purl.obolibrary.org/obo/GO_0031143	pseudopodium
http://purl.obolibrary.org/obo/DDPHENO_0000612	aberrant protein localization to trailing edge	http://purl.obolibrary.org/obo/GO_0031254	cell trailing edge
