defined_class	defined_class_label	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/DDPHENO_0001280	increased 3',5'-cyclic-AMP phosphodiesterase activity	http://purl.obolibrary.org/obo/GO_0004115	3',5'-cyclic-AMP phosphodiesterase activity
http://purl.obolibrary.org/obo/DDPHENO_0001281	increased 3',5'-cyclic-GMP phosphodiesterase activity	http://purl.obolibrary.org/obo/GO_0047555	3',5'-cyclic-GMP phosphodiesterase activity
http://purl.obolibrary.org/obo/DDPHENO_0000800	increased GTPase activator activity	http://purl.obolibrary.org/obo/GO_0005096	GTPase activator activity
http://purl.obolibrary.org/obo/DDPHENO_0001282	increased adenylate cyclase activity	http://purl.obolibrary.org/obo/GO_0004016	adenylate cyclase activity
http://purl.obolibrary.org/obo/DDPHENO_0001260	increased cAMP binding	http://purl.obolibrary.org/obo/GO_0030552	cAMP binding
http://purl.obolibrary.org/obo/DDPHENO_0001334	increased catalase activity	http://purl.obolibrary.org/obo/GO_0004096	catalase activity
http://purl.obolibrary.org/obo/DDPHENO_0001256	increased catalytic activity	http://purl.obolibrary.org/obo/GO_0003824	catalytic activity
http://purl.obolibrary.org/obo/DDPHENO_0000152	increased chemorepellant activity	http://purl.obolibrary.org/obo/GO_0045499	chemorepellent activity
http://purl.obolibrary.org/obo/DDPHENO_0001385	increased cytochrome C oxidase activity	http://purl.obolibrary.org/obo/GO_0004129	cytochrome-c oxidase activity
http://purl.obolibrary.org/obo/DDPHENO_0000333	increased folic acid binding	http://purl.obolibrary.org/obo/GO_0005542	folic acid binding
http://purl.obolibrary.org/obo/DDPHENO_0001172	increased guanyl-nucleotide exchange factor activity	http://purl.obolibrary.org/obo/GO_0005085	guanyl-nucleotide exchange factor activity
http://purl.obolibrary.org/obo/DDPHENO_0001287	increased guanylyl cyclase activity	http://purl.obolibrary.org/obo/GO_0004383	guanylate cyclase activity
http://purl.obolibrary.org/obo/DDPHENO_0001436	increased histone deacetylase activity	http://purl.obolibrary.org/obo/GO_0004407	histone deacetylase activity
http://purl.obolibrary.org/obo/DDPHENO_0001319	increased peptidyl-proline 4-dioxygenase activity	http://purl.obolibrary.org/obo/GO_0031545	peptidyl-proline 4-dioxygenase activity
http://purl.obolibrary.org/obo/DDPHENO_0000750	increased phosphatase activity	http://purl.obolibrary.org/obo/GO_0016791	phosphatase activity
http://purl.obolibrary.org/obo/DDPHENO_0000297	increased protein binding	http://purl.obolibrary.org/obo/GO_0005515	protein binding
http://purl.obolibrary.org/obo/DDPHENO_0000348	increased protein kinase activity	http://purl.obolibrary.org/obo/GO_0004672	protein kinase activity
http://purl.obolibrary.org/obo/DDPHENO_0000793	increased protein kinase regulator activity	http://purl.obolibrary.org/obo/GO_0019887	protein kinase regulator activity
http://purl.obolibrary.org/obo/DDPHENO_0000726	increased protein tyrosine kinase activity	http://purl.obolibrary.org/obo/GO_0004713	protein tyrosine kinase activity
http://purl.obolibrary.org/obo/DDPHENO_0000754	increased protein tyrosine phosphatase activity	http://purl.obolibrary.org/obo/GO_0004725	protein tyrosine phosphatase activity
