defined_class	defined_class_label	location	location_label
http://purl.obolibrary.org/obo/DDPHENO_0000609	abolished protein localization to actin wave	http://purl.obolibrary.org/obo/GO_0062201	actin wave
http://purl.obolibrary.org/obo/DDPHENO_0000675	abolished protein localization to apical plasma membrane	http://purl.obolibrary.org/obo/GO_0016324	apical plasma membrane
http://purl.obolibrary.org/obo/DDPHENO_0000633	abolished protein localization to autophagosome	http://purl.obolibrary.org/obo/GO_0005776	autophagosome
http://purl.obolibrary.org/obo/DDPHENO_0000641	abolished protein localization to basolateral plasma membrane	http://purl.obolibrary.org/obo/GO_0016323	basolateral plasma membrane
http://purl.obolibrary.org/obo/DDPHENO_0001508	abolished protein localization to cell cortex	http://purl.obolibrary.org/obo/GO_0005938	cell cortex
http://purl.obolibrary.org/obo/DDPHENO_0000673	abolished protein localization to cell periphery	http://purl.obolibrary.org/obo/GO_0071944	cell periphery
http://purl.obolibrary.org/obo/DDPHENO_0001497	abolished protein localization to cell surface	http://purl.obolibrary.org/obo/GO_0009986	cell surface
http://purl.obolibrary.org/obo/DDPHENO_0000637	abolished protein localization to cell-cell contact zone	http://purl.obolibrary.org/obo/GO_0044291	cell-cell contact zone
http://purl.obolibrary.org/obo/DDPHENO_0000625	abolished protein localization to centrosome	http://purl.obolibrary.org/obo/GO_0005813	centrosome
http://purl.obolibrary.org/obo/DDPHENO_0001405	abolished protein localization to clathrin-coated pit	http://purl.obolibrary.org/obo/GO_0005905	clathrin-coated pit
http://purl.obolibrary.org/obo/DDPHENO_0000645	abolished protein localization to cleavage furrow	http://purl.obolibrary.org/obo/GO_0032154	cleavage furrow
http://purl.obolibrary.org/obo/DDPHENO_0000517	abolished protein localization to contractile vacuole	http://purl.obolibrary.org/obo/GO_0000331	contractile vacuole
http://purl.obolibrary.org/obo/DDPHENO_0000521	abolished protein localization to contractile vacuole membrane	http://purl.obolibrary.org/obo/GO_0031164	contractile vacuolar membrane
http://purl.obolibrary.org/obo/DDPHENO_0001392	abolished protein localization to cytoplasm	http://purl.obolibrary.org/obo/GO_0005737	cytoplasm
http://purl.obolibrary.org/obo/DDPHENO_0000669	abolished protein localization to cytoplasmic vesicle	http://purl.obolibrary.org/obo/GO_0031410	cytoplasmic vesicle
http://purl.obolibrary.org/obo/DDPHENO_0000677	abolished protein localization to endolysosome	http://purl.obolibrary.org/obo/GO_0036019	endolysosome
http://purl.obolibrary.org/obo/DDPHENO_0000617	abolished protein localization to filopodium	http://purl.obolibrary.org/obo/GO_0030175	filopodium
http://purl.obolibrary.org/obo/DDPHENO_0000605	abolished protein localization to leading edge	http://purl.obolibrary.org/obo/GO_0031252	cell leading edge
http://purl.obolibrary.org/obo/DDPHENO_0000657	abolished protein localization to lysosomal membrane	http://purl.obolibrary.org/obo/GO_0005765	lysosomal membrane
http://purl.obolibrary.org/obo/DDPHENO_0000649	abolished protein localization to lysosome	http://purl.obolibrary.org/obo/GO_0005764	lysosome
http://purl.obolibrary.org/obo/DDPHENO_0000629	abolished protein localization to macropinosome	http://purl.obolibrary.org/obo/GO_0044354	macropinosome
http://purl.obolibrary.org/obo/DDPHENO_0001400	abolished protein localization to microtubule organizing center	http://purl.obolibrary.org/obo/GO_0005815	microtubule organizing center
http://purl.obolibrary.org/obo/DDPHENO_0001399	abolished protein localization to microtubules	http://purl.obolibrary.org/obo/GO_0005874	microtubule
http://purl.obolibrary.org/obo/DDPHENO_0000797	abolished protein localization to mitotic actomyosin contractile ring	http://purl.obolibrary.org/obo/GO_0110085	mitotic actomyosin contractile ring
http://purl.obolibrary.org/obo/DDPHENO_0000661	abolished protein localization to mitotic spindle	http://purl.obolibrary.org/obo/GO_0072686	mitotic spindle
http://purl.obolibrary.org/obo/DDPHENO_0000665	abolished protein localization to mitotic spindle midzone	http://purl.obolibrary.org/obo/GO_1990023	mitotic spindle midzone
http://purl.obolibrary.org/obo/DDPHENO_0001428	abolished protein localization to nuclear envelope	http://purl.obolibrary.org/obo/GO_0005635	nuclear envelope
http://purl.obolibrary.org/obo/DDPHENO_0000105	abolished protein localization to nucleolus	http://purl.obolibrary.org/obo/GO_0005730	nucleolus
http://purl.obolibrary.org/obo/DDPHENO_0000453	abolished protein localization to nucleus	http://purl.obolibrary.org/obo/GO_0005634	cell nucleus
http://purl.obolibrary.org/obo/DDPHENO_0000453	abolished protein localization to nucleus	http://purl.obolibrary.org/obo/GO_0005634	nucleus
http://purl.obolibrary.org/obo/DDPHENO_0000621	abolished protein localization to phagocytic vesicle	http://purl.obolibrary.org/obo/GO_0045335	phagocytic vesicle
http://purl.obolibrary.org/obo/DDPHENO_0001394	abolished protein localization to plasma membrane	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane
http://purl.obolibrary.org/obo/DDPHENO_0000653	abolished protein localization to post-lysosomal vacuole	http://purl.obolibrary.org/obo/GO_0032195	post-lysosomal vacuole
http://purl.obolibrary.org/obo/DDPHENO_0001512	abolished protein localization to pseudopodium	http://purl.obolibrary.org/obo/GO_0031143	pseudopodium
http://purl.obolibrary.org/obo/DDPHENO_0000613	abolished protein localization to trailing edge	http://purl.obolibrary.org/obo/GO_0031254	cell trailing edge
