defined_class	defined_class_label	location	location_label
http://purl.obolibrary.org/obo/DDPHENO_0000683	increased  protein localization to contractile vacuole membrane	http://purl.obolibrary.org/obo/GO_0031164	contractile vacuolar membrane
http://purl.obolibrary.org/obo/DDPHENO_0000611	increased protein localization to actin wave	http://purl.obolibrary.org/obo/GO_0062201	actin wave
http://purl.obolibrary.org/obo/DDPHENO_0000635	increased protein localization to autophagosome	http://purl.obolibrary.org/obo/GO_0005776	autophagosome
http://purl.obolibrary.org/obo/DDPHENO_0000643	increased protein localization to basolateral plasma membrane	http://purl.obolibrary.org/obo/GO_0016323	basolateral plasma membrane
http://purl.obolibrary.org/obo/DDPHENO_0001510	increased protein localization to cell cortex	http://purl.obolibrary.org/obo/GO_0005938	cell cortex
http://purl.obolibrary.org/obo/DDPHENO_0001499	increased protein localization to cell surface	http://purl.obolibrary.org/obo/GO_0009986	cell surface
http://purl.obolibrary.org/obo/DDPHENO_0000639	increased protein localization to cell-cell contact zone	http://purl.obolibrary.org/obo/GO_0044291	cell-cell contact zone
http://purl.obolibrary.org/obo/DDPHENO_0000627	increased protein localization to centrosome	http://purl.obolibrary.org/obo/GO_0005813	centrosome
http://purl.obolibrary.org/obo/DDPHENO_0001407	increased protein localization to clathrin-coated pit	http://purl.obolibrary.org/obo/GO_0005905	clathrin-coated pit
http://purl.obolibrary.org/obo/DDPHENO_0000647	increased protein localization to cleavage furrow	http://purl.obolibrary.org/obo/GO_0032154	cleavage furrow
http://purl.obolibrary.org/obo/DDPHENO_0000681	increased protein localization to contractile vacuole	http://purl.obolibrary.org/obo/GO_0000331	contractile vacuole
http://purl.obolibrary.org/obo/DDPHENO_0001390	increased protein localization to cytoplasm	http://purl.obolibrary.org/obo/GO_0005737	cytoplasm
http://purl.obolibrary.org/obo/DDPHENO_0000671	increased protein localization to cytoplasmic vesicle	http://purl.obolibrary.org/obo/GO_0031410	cytoplasmic vesicle
http://purl.obolibrary.org/obo/DDPHENO_0000679	increased protein localization to endolysosome	http://purl.obolibrary.org/obo/GO_0036019	endolysosome
http://purl.obolibrary.org/obo/DDPHENO_0000619	increased protein localization to filopodium	http://purl.obolibrary.org/obo/GO_0030175	filopodium
http://purl.obolibrary.org/obo/DDPHENO_0000607	increased protein localization to leading edge	http://purl.obolibrary.org/obo/GO_0031252	cell leading edge
http://purl.obolibrary.org/obo/DDPHENO_0000659	increased protein localization to lysosomal membrane	http://purl.obolibrary.org/obo/GO_0005765	lysosomal membrane
http://purl.obolibrary.org/obo/DDPHENO_0000651	increased protein localization to lysosome	http://purl.obolibrary.org/obo/GO_0005764	lysosome
http://purl.obolibrary.org/obo/DDPHENO_0000631	increased protein localization to macropinosome	http://purl.obolibrary.org/obo/GO_0044354	macropinosome
http://purl.obolibrary.org/obo/DDPHENO_0001404	increased protein localization to microtubule organizing center	http://purl.obolibrary.org/obo/GO_0005815	microtubule organizing center
http://purl.obolibrary.org/obo/DDPHENO_0001403	increased protein localization to microtubules	http://purl.obolibrary.org/obo/GO_0005874	microtubule
http://purl.obolibrary.org/obo/DDPHENO_0000663	increased protein localization to mitotic spindle	http://purl.obolibrary.org/obo/GO_0072686	mitotic spindle
http://purl.obolibrary.org/obo/DDPHENO_0000667	increased protein localization to mitotic spindle midzone	http://purl.obolibrary.org/obo/GO_1990023	mitotic spindle midzone
http://purl.obolibrary.org/obo/DDPHENO_0001430	increased protein localization to nuclear envelope	http://purl.obolibrary.org/obo/GO_0005635	nuclear envelope
http://purl.obolibrary.org/obo/DDPHENO_0000107	increased protein localization to nucleolus	http://purl.obolibrary.org/obo/GO_0005730	nucleolus
http://purl.obolibrary.org/obo/DDPHENO_0001341	increased protein localization to nucleus	http://purl.obolibrary.org/obo/GO_0005634	cell nucleus
http://purl.obolibrary.org/obo/DDPHENO_0001341	increased protein localization to nucleus	http://purl.obolibrary.org/obo/GO_0005634	nucleus
http://purl.obolibrary.org/obo/DDPHENO_0000623	increased protein localization to phagocytic vesicle	http://purl.obolibrary.org/obo/GO_0045335	phagocytic vesicle
http://purl.obolibrary.org/obo/DDPHENO_0001396	increased protein localization to plasma membrane	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane
http://purl.obolibrary.org/obo/DDPHENO_0000655	increased protein localization to post-lysosomal vacuole	http://purl.obolibrary.org/obo/GO_0032195	post-lysosomal vacuole
http://purl.obolibrary.org/obo/DDPHENO_0001414	increased protein localization to pseudopodium	http://purl.obolibrary.org/obo/GO_0031143	pseudopodium
http://purl.obolibrary.org/obo/DDPHENO_0000615	increased protein localization to trailing edge	http://purl.obolibrary.org/obo/GO_0031254	cell trailing edge
