defined_class	defined_class_label	location	location_label
http://purl.obolibrary.org/obo/DDPHENO_0000610	decreased protein localization to actin wave	http://purl.obolibrary.org/obo/GO_0062201	actin wave
http://purl.obolibrary.org/obo/DDPHENO_0000634	decreased protein localization to autophagosome	http://purl.obolibrary.org/obo/GO_0005776	autophagosome
http://purl.obolibrary.org/obo/DDPHENO_0000642	decreased protein localization to basolateral plasma membrane	http://purl.obolibrary.org/obo/GO_0016323	basolateral plasma membrane
http://purl.obolibrary.org/obo/DDPHENO_0001509	decreased protein localization to cell cortex	http://purl.obolibrary.org/obo/GO_0005938	cell cortex
http://purl.obolibrary.org/obo/DDPHENO_0001498	decreased protein localization to cell surface	http://purl.obolibrary.org/obo/GO_0009986	cell surface
http://purl.obolibrary.org/obo/DDPHENO_0000638	decreased protein localization to cell-cell contact zone	http://purl.obolibrary.org/obo/GO_0044291	cell-cell contact zone
http://purl.obolibrary.org/obo/DDPHENO_0000626	decreased protein localization to centrosome	http://purl.obolibrary.org/obo/GO_0005813	centrosome
http://purl.obolibrary.org/obo/DDPHENO_0001406	decreased protein localization to clathrin-coated pit	http://purl.obolibrary.org/obo/GO_0005905	clathrin-coated pit
http://purl.obolibrary.org/obo/DDPHENO_0000646	decreased protein localization to cleavage furrow	http://purl.obolibrary.org/obo/GO_0032154	cleavage furrow
http://purl.obolibrary.org/obo/DDPHENO_0000680	decreased protein localization to contractile vacuole	http://purl.obolibrary.org/obo/GO_0000331	contractile vacuole
http://purl.obolibrary.org/obo/DDPHENO_0000682	decreased protein localization to contractile vacuole membrane	http://purl.obolibrary.org/obo/GO_0031164	contractile vacuolar membrane
http://purl.obolibrary.org/obo/DDPHENO_0001391	decreased protein localization to cytoplasm	http://purl.obolibrary.org/obo/GO_0005737	cytoplasm
http://purl.obolibrary.org/obo/DDPHENO_0000670	decreased protein localization to cytoplasmic vesicle	http://purl.obolibrary.org/obo/GO_0031410	cytoplasmic vesicle
http://purl.obolibrary.org/obo/DDPHENO_0000678	decreased protein localization to endolysosome	http://purl.obolibrary.org/obo/GO_0036019	endolysosome
http://purl.obolibrary.org/obo/DDPHENO_0000618	decreased protein localization to filopodium	http://purl.obolibrary.org/obo/GO_0030175	filopodium
http://purl.obolibrary.org/obo/DDPHENO_0000606	decreased protein localization to leading edge	http://purl.obolibrary.org/obo/GO_0031252	cell leading edge
http://purl.obolibrary.org/obo/DDPHENO_0000658	decreased protein localization to lysosomal membrane	http://purl.obolibrary.org/obo/GO_0005765	lysosomal membrane
http://purl.obolibrary.org/obo/DDPHENO_0000650	decreased protein localization to lysosome	http://purl.obolibrary.org/obo/GO_0005764	lysosome
http://purl.obolibrary.org/obo/DDPHENO_0000630	decreased protein localization to macropinosome	http://purl.obolibrary.org/obo/GO_0044354	macropinosome
http://purl.obolibrary.org/obo/DDPHENO_0001401	decreased protein localization to microtubule organizing center	http://purl.obolibrary.org/obo/GO_0005815	microtubule organizing center
http://purl.obolibrary.org/obo/DDPHENO_0001402	decreased protein localization to microtubules	http://purl.obolibrary.org/obo/GO_0005874	microtubule
http://purl.obolibrary.org/obo/DDPHENO_0000778	decreased protein localization to mitotic actomyosin contractile ring	http://purl.obolibrary.org/obo/GO_0110085	mitotic actomyosin contractile ring
http://purl.obolibrary.org/obo/DDPHENO_0000662	decreased protein localization to mitotic spindle	http://purl.obolibrary.org/obo/GO_0072686	mitotic spindle
http://purl.obolibrary.org/obo/DDPHENO_0000666	decreased protein localization to mitotic spindle midzone	http://purl.obolibrary.org/obo/GO_1990023	mitotic spindle midzone
http://purl.obolibrary.org/obo/DDPHENO_0001429	decreased protein localization to nuclear envelope	http://purl.obolibrary.org/obo/GO_0005635	nuclear envelope
http://purl.obolibrary.org/obo/DDPHENO_0000106	decreased protein localization to nucleolus	http://purl.obolibrary.org/obo/GO_0005730	nucleolus
http://purl.obolibrary.org/obo/DDPHENO_0001340	decreased protein localization to nucleus	http://purl.obolibrary.org/obo/GO_0005634	cell nucleus
http://purl.obolibrary.org/obo/DDPHENO_0001340	decreased protein localization to nucleus	http://purl.obolibrary.org/obo/GO_0005634	nucleus
http://purl.obolibrary.org/obo/DDPHENO_0000622	decreased protein localization to phagocytic vesicle	http://purl.obolibrary.org/obo/GO_0045335	phagocytic vesicle
http://purl.obolibrary.org/obo/DDPHENO_0001395	decreased protein localization to plasma membrane	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane
http://purl.obolibrary.org/obo/DDPHENO_0000654	decreased protein localization to post-lysosomal vacuole	http://purl.obolibrary.org/obo/GO_0032195	post-lysosomal vacuole
http://purl.obolibrary.org/obo/DDPHENO_0001413	decreased protein localization to pseudopodium	http://purl.obolibrary.org/obo/GO_0031143	pseudopodium
http://purl.obolibrary.org/obo/DDPHENO_0000614	decreased protein localization to trailing edge	http://purl.obolibrary.org/obo/GO_0031254	cell trailing edge
