defined_class	defined_class_label	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/DDPHENO_0001229	decreased 3',5'-cyclic-AMP phosphodiesterase activity	http://purl.obolibrary.org/obo/GO_0004115	3',5'-cyclic-AMP phosphodiesterase activity
http://purl.obolibrary.org/obo/DDPHENO_0001230	decreased 3',5'-cyclic-GMP phosphodiesterase activity	http://purl.obolibrary.org/obo/GO_0047555	3',5'-cyclic-GMP phosphodiesterase activity
http://purl.obolibrary.org/obo/DDPHENO_0000783	decreased DNA (cytosine-5-)-methyltransferase activity	http://purl.obolibrary.org/obo/GO_0003886	DNA (cytosine-5-)-methyltransferase activity
http://purl.obolibrary.org/obo/DDPHENO_0000738	decreased DNA-methyltransferase activity	http://purl.obolibrary.org/obo/GO_0009008	DNA-methyltransferase activity
http://purl.obolibrary.org/obo/DDPHENO_0000801	decreased GTPase activator activity	http://purl.obolibrary.org/obo/GO_0005096	GTPase activator activity
http://purl.obolibrary.org/obo/DDPHENO_0000790	decreased adenylate cyclase activator activity	http://purl.obolibrary.org/obo/GO_0010856	adenylate cyclase activator activity
http://purl.obolibrary.org/obo/DDPHENO_0001285	decreased adenylate cyclase activity	http://purl.obolibrary.org/obo/GO_0004016	adenylate cyclase activity
http://purl.obolibrary.org/obo/DDPHENO_0000787	decreased adenylate cyclase regulator activity	http://purl.obolibrary.org/obo/GO_0010854	adenylate cyclase regulator activity
http://purl.obolibrary.org/obo/DDPHENO_0001261	decreased cAMP binding	http://purl.obolibrary.org/obo/GO_0030552	cAMP binding
http://purl.obolibrary.org/obo/DDPHENO_0001333	decreased catalase activity	http://purl.obolibrary.org/obo/GO_0004096	catalase activity
http://purl.obolibrary.org/obo/DDPHENO_0001257	decreased catalytic activity	http://purl.obolibrary.org/obo/GO_0003824	catalytic activity
http://purl.obolibrary.org/obo/DDPHENO_0000323	decreased cellulose binding	http://purl.obolibrary.org/obo/GO_0030248	cellulose binding
http://purl.obolibrary.org/obo/DDPHENO_0000153	decreased chemorepellant activity	http://purl.obolibrary.org/obo/GO_0045499	chemorepellent activity
http://purl.obolibrary.org/obo/DDPHENO_0001384	decreased cytochrome C oxidase activity	http://purl.obolibrary.org/obo/GO_0004129	cytochrome-c oxidase activity
http://purl.obolibrary.org/obo/DDPHENO_0000332	decreased folic acid binding	http://purl.obolibrary.org/obo/GO_0005542	folic acid binding
http://purl.obolibrary.org/obo/DDPHENO_0001284	decreased guanyl-nucleotide exchange factor activity	http://purl.obolibrary.org/obo/GO_0005085	guanyl-nucleotide exchange factor activity
http://purl.obolibrary.org/obo/DDPHENO_0001288	decreased guanylyl cyclase activity	http://purl.obolibrary.org/obo/GO_0004383	guanylate cyclase activity
http://purl.obolibrary.org/obo/DDPHENO_0001435	decreased histone deacetylase activity	http://purl.obolibrary.org/obo/GO_0004407	histone deacetylase activity
http://purl.obolibrary.org/obo/DDPHENO_0000325	decreased lipid binding	http://purl.obolibrary.org/obo/GO_0008289	lipid binding
http://purl.obolibrary.org/obo/DDPHENO_0001320	decreased peptidyl-proline 4-dioxygenase activity	http://purl.obolibrary.org/obo/GO_0031545	peptidyl-proline 4-dioxygenase activity
http://purl.obolibrary.org/obo/DDPHENO_0000749	decreased phosphatase activity	http://purl.obolibrary.org/obo/GO_0016791	phosphatase activity
http://purl.obolibrary.org/obo/DDPHENO_0000296	decreased protein binding	http://purl.obolibrary.org/obo/GO_0005515	protein binding
http://purl.obolibrary.org/obo/DDPHENO_0000346	decreased protein kinase activity	http://purl.obolibrary.org/obo/GO_0004672	protein kinase activity
http://purl.obolibrary.org/obo/DDPHENO_0000794	decreased protein kinase regulator activity	http://purl.obolibrary.org/obo/GO_0019887	protein kinase regulator activity
http://purl.obolibrary.org/obo/DDPHENO_0000725	decreased protein tyrosine kinase activity	http://purl.obolibrary.org/obo/GO_0004713	protein tyrosine kinase activity
http://purl.obolibrary.org/obo/DDPHENO_0000753	decreased protein tyrosine phosphatase activity	http://purl.obolibrary.org/obo/GO_0004725	protein tyrosine phosphatase activity
http://purl.obolibrary.org/obo/DDPHENO_0000329	decreased small molecule binding	http://purl.obolibrary.org/obo/GO_0036094	small molecule binding
