subject_id	subject_label	predicate_id	object_id	object_label	go	go_label	observable
APO:0000050	cellular morphology	skos:exactMatch	OBA:1001065				1
APO:0000057	nuclear morphology	skos:exactMatch	OBA:1000019				1
APO:0000054	cytoskeleton morphology	skos:exactMatch	OBA:1000013	cytoskeleton morphology			1
APO:0000058	peroxisomal morphology	skos:exactMatch	OBA:0005997				1
APO:0000144	telomere length	skos:exactMatch	OBA:0003784				1
APO:0000055	mitochondrial morphology	skos:exactMatch	OBA:0002821				1
APO:0000119	size of nucleus	skos:exactMatch	OBA:0000117	nuclear size			1
APO:0000052	cell size	skos:exactMatch	OBA:0000055	cell size			1
APO:0000141	critical cell size at START (G1 cell-size checkpoint)	skos:broadMatch	OBA:0000055				1
APO:0000051	cell shape	skos:exactMatch	OBA:0000052				1
APO:0000275	prion inheritance	skos:broadMatch	OBA:0100002	biological process attribute			1
APO:0000276	prion formation	skos:broadMatch	OBA:0100002	biological process attribute			1
APO:0000277	prion loss	skos:broadMatch	OBA:0100002	biological process attribute			1
APO:0000053	cell wall morphology	skos:exactMatch	OBA:2045461	cell wall morphology	GO:0005618		1
APO:0000056	bud neck morphology	skos:exactMatch	OBA:2045462	bud neck morphology	GO:0005935		1
APO:0000212	bud morphology	skos:exactMatch	OBA:2045463	bud morphology	GO:0005933		1
APO:0000059	vacuolar morphology	skos:exactMatch	OBA:2045464	vacuolar morphology	GO:0005773		1
APO:0000120	actin cytoskeleton morphology	skos:exactMatch	OBA:2045465	actin cytoskeleton morphology	GO:0015629		1
APO:0000213	spindle morphology	skos:exactMatch	OBA:2045466	spindle morphology	GO:0005819		1
APO:0000118	nuclear position	skos:exactMatch	OBA:2045467	nuclear position	GO:0005634		1
APO:0000214	position of spindle pole body	skos:exactMatch	OBA:2045468	position of spindle pole body	GO:0005816		1
APO:0000193	resistance to enzymatic treatment	skos:broadMatch	OBA:2045469	response to external stimulus trait	GO:0009605		1
APO:0000104	mitochondrial rho- mutation frequency	skos:broadMatch	OBA:2045470	mitochondrial genome maintenance trait	GO:0000002		1
APO:0000089	budding index	skos:exactMatch	OBA:2045471	cell budding trait	GO:0007114		1
