# curie_map:
#   APO: http://purl.obolibrary.org/obo/APO_
#   BFO: http://purl.obolibrary.org/obo/BFO_
#   BSPO: http://purl.obolibrary.org/obo/BSPO_
#   CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#   CL: http://purl.obolibrary.org/obo/CL_
#   DDPHENO: http://purl.obolibrary.org/obo/DDPHENO_
#   FBcv: http://purl.obolibrary.org/obo/FBcv_
#   FYPO: http://purl.obolibrary.org/obo/FYPO_
#   GO: http://purl.obolibrary.org/obo/GO_
#   HP: http://purl.obolibrary.org/obo/HP_
#   HsapDv: http://purl.obolibrary.org/obo/HsapDv_
#   MP: http://purl.obolibrary.org/obo/MP_
#   MPATH: http://purl.obolibrary.org/obo/MPATH_
#   NBO: http://purl.obolibrary.org/obo/NBO_
#   OBA: http://purl.obolibrary.org/obo/OBA_
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   PHIPO: http://purl.obolibrary.org/obo/PHIPO_
#   PLANP: http://purl.obolibrary.org/obo/PLANP_
#   PR: http://purl.obolibrary.org/obo/PR_
#   RO: http://purl.obolibrary.org/obo/RO_
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   UPHENO: http://purl.obolibrary.org/obo/UPHENO_
#   WBPhenotype: http://purl.obolibrary.org/obo/WBPhenotype_
#   XPO: http://purl.obolibrary.org/obo/XPO_
#   ZP: http://purl.obolibrary.org/obo/ZP_
#   obo: http://purl.obolibrary.org/obo/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/1a7a5c02-3557-43ae-a118-25449c6c3190
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	subject_preprocessing	object_preprocessing
APO:0000023	development	skos:exactMatch	WBPhenotype:0000518	development phenotype	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	development		semapv:RegularExpressionReplacement
APO:0000027	filamentous growth	skos:exactMatch	GO:0030447	filamentous growth	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	filamentous growth		
APO:0000029	pseudohyphal growth	skos:exactMatch	FYPO:0000550	abnormal pseudohyphal growth	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	pseudohyphal growth		semapv:RegularExpressionReplacement
APO:0000029	pseudohyphal growth	skos:exactMatch	GO:0007124	pseudohyphal growth	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	pseudohyphal growth		
APO:0000030	lifespan	skos:exactMatch	UBERON:0000104	life cycle	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	lifespan		
APO:0000035	nuclear fusion during mating	skos:exactMatch	FYPO:0000510	abnormal nuclear fusion during mating	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	nuclear fusion during mating		semapv:RegularExpressionReplacement
APO:0000035	nuclear fusion during mating	skos:exactMatch	GO:0000741	karyogamy	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	karyogamy		
APO:0000038	shmoo formation	skos:exactMatch	FYPO:0000568	abnormal shmoo formation	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	shmoo formation		semapv:RegularExpressionReplacement
APO:0000039	meiosis	skos:exactMatch	FYPO:0000051	abnormal meiosis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	meiosis		semapv:RegularExpressionReplacement
APO:0000039	meiosis	skos:exactMatch	GO:0140013	meiotic nuclear division	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	meiosis		
