defined_class	defined_class_label	chemical_entity	chemical_entity_label	location	location_label
http://purl.obolibrary.org/obo/ZP_0100260	(3,4-dihydroxyphenyl)acetic acid brain decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_41941	(3,4-dihydroxyphenyl)acetic acid	http://purl.obolibrary.org/obo/ZFA_0000008	brain
http://purl.obolibrary.org/obo/ZP_0104772	(3,4-dihydroxyphenyl)acetic acid diencephalon decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_41941	(3,4-dihydroxyphenyl)acetic acid	http://purl.obolibrary.org/obo/ZFA_0000101	diencephalon
http://purl.obolibrary.org/obo/ZP_0104770	(3,4-dihydroxyphenyl)acetic acid hindbrain decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_41941	(3,4-dihydroxyphenyl)acetic acid	http://purl.obolibrary.org/obo/ZFA_0000029	hindbrain
http://purl.obolibrary.org/obo/ZP_0104773	(3,4-dihydroxyphenyl)acetic acid optic tectum decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_41941	(3,4-dihydroxyphenyl)acetic acid	http://purl.obolibrary.org/obo/ZFA_0000445	optic tectum
http://purl.obolibrary.org/obo/ZP_0104771	(3,4-dihydroxyphenyl)acetic acid telencephalon decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_41941	(3,4-dihydroxyphenyl)acetic acid	http://purl.obolibrary.org/obo/ZFA_0000079	telencephalon
http://purl.obolibrary.org/obo/ZP_0101496	(R)-adrenaline head decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_28918	(R)-adrenaline	http://purl.obolibrary.org/obo/ZFA_0001114	head
http://purl.obolibrary.org/obo/ZP_0103796	10-formyltetrahydrofolate(2-) whole organism decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_57454	10-formyltetrahydrofolate(2-)	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0103029	11-oxotestosterone blood decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_34133	11-oxotestosterone	http://purl.obolibrary.org/obo/ZFA_0000007	blood
http://purl.obolibrary.org/obo/ZP_0021830	11-oxotestosterone blood plasma decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_34133	11-oxotestosterone	http://purl.obolibrary.org/obo/ZFA_0005654	blood plasma
http://purl.obolibrary.org/obo/ZP_0131251	11-oxotestosterone female organism decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_34133	11-oxotestosterone	http://purl.obolibrary.org/obo/ZFA_0000303	female organism
http://purl.obolibrary.org/obo/ZP_0131067	11-oxotestosterone whole organism decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_34133	11-oxotestosterone	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0101881	3',5'-cyclic AMP whole organism decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_17489	3',5'-cyclic AMP	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0103548	3,3',5-triiodo-L-thyronine whole organism decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_18258	3,3',5-triiodo-L-thyronine	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0102028	5-O-phosphono-alpha-D-ribofuranosyl diphosphate whole organism decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_17111	5-O-phosphono-alpha-D-ribofuranosyl diphosphate	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0103794	5-methyltetrahydrofolate whole organism decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_20612	5-methyltetrahydrofolate	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0101036	ADP brain decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_16761	ADP	http://purl.obolibrary.org/obo/ZFA_0000008	brain
http://purl.obolibrary.org/obo/ZP_0107045	ATP cell decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_15422	ATP	http://purl.obolibrary.org/obo/ZFA_0009000	cell
http://purl.obolibrary.org/obo/ZP_0102093	ATP whole organism decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_15422	ATP	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0100188	CDP-choline brain decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_16436	CDP-choline	http://purl.obolibrary.org/obo/ZFA_0000008	brain
http://purl.obolibrary.org/obo/ZP_0107206	Collagen otic vesicle protrusion decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_3815	Collagen	http://purl.obolibrary.org/obo/ZFA_0001715	otic vesicle protrusion
http://purl.obolibrary.org/obo/ZP_0130772	D-glucosyl-N-acylsphingosine brain decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_18368	D-glucosyl-N-acylsphingosine	http://purl.obolibrary.org/obo/ZFA_0000008	brain
http://purl.obolibrary.org/obo/ZP_0130771	D-glucosyl-N-acylsphingosine whole organism decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_18368	D-glucosyl-N-acylsphingosine	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0102852	D3 vitamins blood plasma decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_73558	D3 vitamins	http://purl.obolibrary.org/obo/ZFA_0005654	blood plasma
http://purl.obolibrary.org/obo/ZP_0102851	D3 vitamins liver decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_73558	D3 vitamins	http://purl.obolibrary.org/obo/ZFA_0000123	liver
http://purl.obolibrary.org/obo/ZP_0102853	D3 vitamins visceral fat decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_73558	D3 vitamins	http://purl.obolibrary.org/obo/ZFA_0005759	visceral fat
http://purl.obolibrary.org/obo/ZP_0103400	Follicle stimulating hormone blood plasma decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_81569	Follicle stimulating hormone	http://purl.obolibrary.org/obo/ZFA_0005654	blood plasma
http://purl.obolibrary.org/obo/ZP_0102029	IMP whole organism decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_17202	IMP	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0103399	Luteinizing hormone blood plasma decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_81568	Luteinizing hormone	http://purl.obolibrary.org/obo/ZFA_0005654	blood plasma
http://purl.obolibrary.org/obo/ZP_0104197	Melanin eye decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_89634	Melanin	http://purl.obolibrary.org/obo/ZFA_0000107	eye
http://purl.obolibrary.org/obo/ZP_0103598	Melanin melanocyte decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_89634	Melanin	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte
http://purl.obolibrary.org/obo/ZP_0018703	Melanin whole organism decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_89634	Melanin	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0020994	N-glycan whole organism decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_59520	N-glycan	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0101478	NAD head decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_13389	NAD	http://purl.obolibrary.org/obo/ZFA_0001114	head
http://purl.obolibrary.org/obo/ZP_0103401	Prolactin blood plasma decreased amount, abnormal	http://purl.obolibrary.org/obo/CHEBI_81580	Prolactin	http://purl.obolibrary.org/obo/ZFA_0005654	blood plasma
