defined_class	defined_class_label	cellular_component	cellular_component_label	location	location_label
http://purl.obolibrary.org/obo/ZP_0012656	axon cerebellum degenerate, abnormal	http://purl.obolibrary.org/obo/GO_0030424	axon	http://purl.obolibrary.org/obo/ZFA_0000100	cerebellum
http://purl.obolibrary.org/obo/ZP_0016972	axon facial ganglion degenerate, abnormal	http://purl.obolibrary.org/obo/GO_0030424	axon	http://purl.obolibrary.org/obo/ZFA_0001291	facial ganglion
http://purl.obolibrary.org/obo/ZP_0016973	axon glossopharyngeal ganglion degenerate, abnormal	http://purl.obolibrary.org/obo/GO_0030424	axon	http://purl.obolibrary.org/obo/ZFA_0001301	glossopharyngeal ganglion
http://purl.obolibrary.org/obo/ZP_0016891	axon motor neuron degenerate, abnormal	http://purl.obolibrary.org/obo/GO_0030424	axon	http://purl.obolibrary.org/obo/ZFA_0009052	motor neuron
http://purl.obolibrary.org/obo/ZP_0016971	axon trigeminal ganglion degenerate, abnormal	http://purl.obolibrary.org/obo/GO_0030424	axon	http://purl.obolibrary.org/obo/ZFA_0000295	trigeminal ganglion
http://purl.obolibrary.org/obo/ZP_0016974	axon vagal ganglion degenerate, abnormal	http://purl.obolibrary.org/obo/GO_0030424	axon	http://purl.obolibrary.org/obo/ZFA_0007067	vagal ganglion
http://purl.obolibrary.org/obo/ZP_0016976	cell body cranial ganglion degenerate, abnormal	http://purl.obolibrary.org/obo/GO_0044297	cell body	http://purl.obolibrary.org/obo/ZFA_0000013	cranial ganglion
http://purl.obolibrary.org/obo/ZP_0107078	cone photoreceptor outer segment retinal cone cell degenerate, abnormal	http://purl.obolibrary.org/obo/GO_0120199	cone photoreceptor outer segment	http://purl.obolibrary.org/obo/ZFA_0009262	retinal cone cell
http://purl.obolibrary.org/obo/ZP_0100460	cytoplasm neuromast hair cell degenerate, abnormal	http://purl.obolibrary.org/obo/GO_0005737	cytoplasm	http://purl.obolibrary.org/obo/ZFA_0009367	neuromast hair cell
http://purl.obolibrary.org/obo/ZP_0011012	focal adhesion intestinal epithelium degenerate, abnormal	http://purl.obolibrary.org/obo/GO_0005925	focal adhesion	http://purl.obolibrary.org/obo/ZFA_0005124	intestinal epithelium
http://purl.obolibrary.org/obo/ZP_0021948	intracellular canaliculus hepatocyte degenerate, abnormal	http://purl.obolibrary.org/obo/GO_0046691	intracellular canaliculus	http://purl.obolibrary.org/obo/ZFA_0009111	hepatocyte
