behavior_process	defined_class
http://purl.obolibrary.org/obo/NBO_0000015	http://purl.obolibrary.org/obo/UPHENO_0012046
http://purl.obolibrary.org/obo/NBO_0000313	http://purl.obolibrary.org/obo/UPHENO_0012047
http://purl.obolibrary.org/obo/NBO_0000339	http://purl.obolibrary.org/obo/UPHENO_0012054
http://purl.obolibrary.org/obo/NBO_0000218	http://purl.obolibrary.org/obo/UPHENO_0012055
http://purl.obolibrary.org/obo/NBO_0002065	http://purl.obolibrary.org/obo/UPHENO_0012058
http://purl.obolibrary.org/obo/NBO_0000224	http://purl.obolibrary.org/obo/UPHENO_0012064
http://purl.obolibrary.org/obo/NBO_0000103	http://purl.obolibrary.org/obo/UPHENO_0012065
http://purl.obolibrary.org/obo/NBO_0001679	http://purl.obolibrary.org/obo/UPHENO_0012068
http://purl.obolibrary.org/obo/NBO_0000107	http://purl.obolibrary.org/obo/UPHENO_0012069
http://purl.obolibrary.org/obo/NBO_0000091	http://purl.obolibrary.org/obo/UPHENO_0012071
http://purl.obolibrary.org/obo/NBO_0000131	http://purl.obolibrary.org/obo/UPHENO_0012075
http://purl.obolibrary.org/obo/NBO_0000110	http://purl.obolibrary.org/obo/UPHENO_0012076
http://purl.obolibrary.org/obo/NBO_0000112	http://purl.obolibrary.org/obo/UPHENO_0012079
http://purl.obolibrary.org/obo/NBO_0000211	http://purl.obolibrary.org/obo/UPHENO_0082947
http://purl.obolibrary.org/obo/NBO_0000013	http://purl.obolibrary.org/obo/UPHENO_0084756
http://purl.obolibrary.org/obo/NBO_0001763	http://purl.obolibrary.org/obo/UPHENO_0012082
http://purl.obolibrary.org/obo/NBO_0000620	http://purl.obolibrary.org/obo/UPHENO_0012084
http://purl.obolibrary.org/obo/NBO_0000335	http://purl.obolibrary.org/obo/UPHENO_0012050
http://purl.obolibrary.org/obo/NBO_0001987	http://purl.obolibrary.org/obo/UPHENO_0012053
http://purl.obolibrary.org/obo/NBO_0000221	http://purl.obolibrary.org/obo/UPHENO_0012061
http://purl.obolibrary.org/obo/NBO_0000331	http://purl.obolibrary.org/obo/UPHENO_0012077
http://purl.obolibrary.org/obo/NBO_0000333	http://purl.obolibrary.org/obo/UPHENO_0012083
