behavior_process	defined_class
http://purl.obolibrary.org/obo/NBO_0000313	http://purl.obolibrary.org/obo/UPHENO_0079826
http://purl.obolibrary.org/obo/NBO_0001987	http://purl.obolibrary.org/obo/UPHENO_0079827
http://purl.obolibrary.org/obo/NBO_0000221	http://purl.obolibrary.org/obo/UPHENO_0081793
http://purl.obolibrary.org/obo/NBO_0000211	http://purl.obolibrary.org/obo/UPHENO_0081794
http://purl.obolibrary.org/obo/NBO_0000444	http://purl.obolibrary.org/obo/UPHENO_0079828
http://purl.obolibrary.org/obo/NBO_0001786	http://purl.obolibrary.org/obo/UPHENO_0079830
http://purl.obolibrary.org/obo/NBO_0000446	http://purl.obolibrary.org/obo/UPHENO_0079831
http://purl.obolibrary.org/obo/NBO_0000018	http://purl.obolibrary.org/obo/UPHENO_0079832
http://purl.obolibrary.org/obo/NBO_0000403	http://purl.obolibrary.org/obo/UPHENO_0079833
http://purl.obolibrary.org/obo/NBO_0000128	http://purl.obolibrary.org/obo/UPHENO_0079834
http://purl.obolibrary.org/obo/NBO_0001845	http://purl.obolibrary.org/obo/UPHENO_0079835
http://purl.obolibrary.org/obo/NBO_0000129	http://purl.obolibrary.org/obo/UPHENO_0079836
http://purl.obolibrary.org/obo/NBO_0000416	http://purl.obolibrary.org/obo/UPHENO_0079837
http://purl.obolibrary.org/obo/NBO_0000119	http://purl.obolibrary.org/obo/UPHENO_0079838
http://purl.obolibrary.org/obo/NBO_0000417	http://purl.obolibrary.org/obo/UPHENO_0079839
http://purl.obolibrary.org/obo/NBO_0000605	http://purl.obolibrary.org/obo/UPHENO_0079840
http://purl.obolibrary.org/obo/NBO_0000617	http://purl.obolibrary.org/obo/UPHENO_0079841
http://purl.obolibrary.org/obo/NBO_0000092	http://purl.obolibrary.org/obo/UPHENO_0079842
http://purl.obolibrary.org/obo/NBO_0000054	http://purl.obolibrary.org/obo/UPHENO_0079843
http://purl.obolibrary.org/obo/NBO_0000120	http://purl.obolibrary.org/obo/UPHENO_0079844
http://purl.obolibrary.org/obo/NBO_0000003	http://purl.obolibrary.org/obo/UPHENO_0079846
