defined_class	defined_class_label	entity	entity_label	shape	shape_label
http://purl.obolibrary.org/obo/XPO_0141542	U-shaped tibia-fibula	http://purl.obolibrary.org/obo/XAO_0003213	tibia-fibula	http://purl.obolibrary.org/obo/PATO_0001879	U-shaped
http://purl.obolibrary.org/obo/XPO_0103602	abnormal anterior-posterior axis, curved dorsal	http://purl.obolibrary.org/obo/XAO_0005202	anterior-posterior axis	http://purl.obolibrary.org/obo/PATO_0001468	curved dorsal
http://purl.obolibrary.org/obo/XPO_0131424	abnormal anterior-posterior axis, curved lateral	http://purl.obolibrary.org/obo/XAO_0005202	anterior-posterior axis	http://purl.obolibrary.org/obo/PATO_0001649	curved lateral
http://purl.obolibrary.org/obo/XPO_0131425	abnormal anterior-posterior axis, curved ventral	http://purl.obolibrary.org/obo/XAO_0005202	anterior-posterior axis	http://purl.obolibrary.org/obo/PATO_0001469	curved ventral
http://purl.obolibrary.org/obo/XPO_0103701	abnormal bending of anterior neural tube	http://purl.obolibrary.org/obo/XAO_0000307	anterior neural tube	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0103699	abnormal bending of anterior-posterior axis	http://purl.obolibrary.org/obo/XAO_0005202	anterior-posterior axis	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0103704	abnormal bending of dorsal trunk	http://purl.obolibrary.org/obo/XAO_0005265	dorsal trunk	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0103700	abnormal bending of humerus	http://purl.obolibrary.org/obo/XAO_0003210	humerus	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0103705	abnormal bending of left-right axis	http://purl.obolibrary.org/obo/XAO_0005204	left-right axis	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0103702	abnormal bending of tail	http://purl.obolibrary.org/obo/XAO_0003026	tail	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0115636	abnormally bent metatarsus	http://purl.obolibrary.org/obo/XAO_0003212	metatarsus	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0133341	abnormally coiled small intestine	http://purl.obolibrary.org/obo/XAO_0000130	small intestine	http://purl.obolibrary.org/obo/PATO_0000404	coiled
http://purl.obolibrary.org/obo/XPO_0133351	abnormally decreased coiling of external coil of the small intestine	http://purl.obolibrary.org/obo/XAO_0005063	external coil of the small intestine	http://purl.obolibrary.org/obo/PATO_0001796	decreased coiling
http://purl.obolibrary.org/obo/XPO_0115445	abnormally decreased coiling of foregut	http://purl.obolibrary.org/obo/XAO_0000232	foregut	http://purl.obolibrary.org/obo/PATO_0001796	decreased coiling
http://purl.obolibrary.org/obo/XPO_0133352	abnormally decreased coiling of internal coil of the small intestine	http://purl.obolibrary.org/obo/XAO_0005064	internal coil of the small intestine	http://purl.obolibrary.org/obo/PATO_0001796	decreased coiling
http://purl.obolibrary.org/obo/XPO_0115761	abnormally decreased coiling of proximal tubule	http://purl.obolibrary.org/obo/XAO_0004518	proximal tubule	http://purl.obolibrary.org/obo/PATO_0001796	decreased coiling
http://purl.obolibrary.org/obo/XPO_0133350	abnormally decreased coiling of small intestine	http://purl.obolibrary.org/obo/XAO_0000130	small intestine	http://purl.obolibrary.org/obo/PATO_0001796	decreased coiling
http://purl.obolibrary.org/obo/XPO_0115683	abnormally increased branchiness of regenerating hindlimb	http://purl.obolibrary.org/obo/XAO_0004107	regenerating hindlimb	http://purl.obolibrary.org/obo/PATO_0002285	increased branchiness
http://purl.obolibrary.org/obo/XPO_0115507	abnormally laterally curved whole organism	http://purl.obolibrary.org/obo/XAO_0003004	whole organism	http://purl.obolibrary.org/obo/PATO_0001649	curved lateral
http://purl.obolibrary.org/obo/XPO_0115659	abnormally ruffled dorsal fin	http://purl.obolibrary.org/obo/XAO_0004063	dorsal fin	http://purl.obolibrary.org/obo/PATO_0001799	ruffled
http://purl.obolibrary.org/obo/XPO_0115661	abnormally ruffled ventral fin margin	http://purl.obolibrary.org/obo/XAO_0004065	ventral fin margin	http://purl.obolibrary.org/obo/PATO_0001799	ruffled
