defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	entity	entity_label
http://purl.obolibrary.org/obo/ZP_0002492	axon CaP motoneuron decreased functionality, abnormal	http://purl.obolibrary.org/obo/GO_0030424	axon	http://purl.obolibrary.org/obo/ZFA_0009243	CaP motoneuron
http://purl.obolibrary.org/obo/ZP_0007564	cilium Kupffer's vesicle decreased functionality, abnormal	http://purl.obolibrary.org/obo/GO_0005929	cilium	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle
http://purl.obolibrary.org/obo/ZP_0007566	cilium central canal decreased functionality, abnormal	http://purl.obolibrary.org/obo/GO_0005929	cilium	http://purl.obolibrary.org/obo/ZFA_0000938	central canal
http://purl.obolibrary.org/obo/ZP_0008013	cilium olfactory pit decreased functionality, abnormal	http://purl.obolibrary.org/obo/GO_0005929	cilium	http://purl.obolibrary.org/obo/ZFA_0000130	olfactory pit
http://purl.obolibrary.org/obo/ZP_0002547	cilium pronephric duct decreased functionality, abnormal	http://purl.obolibrary.org/obo/GO_0005929	cilium	http://purl.obolibrary.org/obo/ZFA_0000150	pronephric duct
http://purl.obolibrary.org/obo/ZP_0008853	fast muscle cell myotome decreased functionality, abnormal	http://purl.obolibrary.org/obo/ZFA_0009117	fast muscle cell	http://purl.obolibrary.org/obo/ZFA_0001056	myotome
http://purl.obolibrary.org/obo/ZP_0146259	gap junction whole organism decreased functionality, abnormal	http://purl.obolibrary.org/obo/GO_0005921	gap junction	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0015803	hair cell inner ear decreased functionality, abnormal	http://purl.obolibrary.org/obo/ZFA_0009366	hair cell	http://purl.obolibrary.org/obo/ZFA_0000217	inner ear
http://purl.obolibrary.org/obo/ZP_0101956	hair cell lateral crista decreased functionality, abnormal	http://purl.obolibrary.org/obo/ZFA_0009366	hair cell	http://purl.obolibrary.org/obo/ZFA_0000166	lateral crista
http://purl.obolibrary.org/obo/ZP_0142069	heart male organism decreased functionality, abnormal	http://purl.obolibrary.org/obo/ZFA_0000114	heart	http://purl.obolibrary.org/obo/ZFA_0000242	male organism
http://purl.obolibrary.org/obo/ZP_0011838	lymphatic system cranial vasculature decreased functionality, abnormal	http://purl.obolibrary.org/obo/ZFA_0000385	lymphatic system	http://purl.obolibrary.org/obo/ZFA_0001267	cranial vasculature
