defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	anatomical_entity_fused_with	anatomical_entity_fused_with_label
http://purl.obolibrary.org/obo/ZP_0001964	Meckel's cartilage fused with Meckel's cartilage, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage
http://purl.obolibrary.org/obo/ZP_0100656	Meckel's cartilage fused with cartilage element, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage	http://purl.obolibrary.org/obo/ZFA_0001501	cartilage element
http://purl.obolibrary.org/obo/ZP_0000058	Meckel's cartilage fused with ceratohyal cartilage, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage	http://purl.obolibrary.org/obo/ZFA_0001400	ceratohyal cartilage
http://purl.obolibrary.org/obo/ZP_0002096	Meckel's cartilage fused with hyosymplectic cartilage, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage	http://purl.obolibrary.org/obo/ZFA_0001422	hyosymplectic cartilage
http://purl.obolibrary.org/obo/ZP_0103372	Meckel's cartilage fused with palatoquadrate arch, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage	http://purl.obolibrary.org/obo/ZFA_0001272	palatoquadrate arch
http://purl.obolibrary.org/obo/ZP_0000909	Meckel's cartilage fused with palatoquadrate cartilage, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage	http://purl.obolibrary.org/obo/ZFA_0001399	palatoquadrate cartilage
http://purl.obolibrary.org/obo/ZP_0146930	Meckel's cartilage-palatoquadrate cartilage joint fused with Meckel's cartilage-palatoquadrate cartilage joint, abnormal	http://purl.obolibrary.org/obo/ZFA_0007117	Meckel's cartilage-palatoquadrate cartilage joint	http://purl.obolibrary.org/obo/ZFA_0007117	Meckel's cartilage-palatoquadrate cartilage joint
http://purl.obolibrary.org/obo/ZP_0106299	Weberian vertebra fused with Weberian vertebra, abnormal	http://purl.obolibrary.org/obo/ZFA_0001190	Weberian vertebra	http://purl.obolibrary.org/obo/ZFA_0001190	Weberian vertebra
http://purl.obolibrary.org/obo/ZP_0011095	abducens motor nucleus fused with abducens motor nucleus, abnormal	http://purl.obolibrary.org/obo/ZFA_0000713	abducens motor nucleus	http://purl.obolibrary.org/obo/ZFA_0000713	abducens motor nucleus
http://purl.obolibrary.org/obo/ZP_0000992	anterior macula fused with posterior macula, abnormal	http://purl.obolibrary.org/obo/ZFA_0000168	anterior macula	http://purl.obolibrary.org/obo/ZFA_0000558	posterior macula
http://purl.obolibrary.org/obo/ZP_0005543	atrioventricular canal endocardium fused with atrioventricular canal endocardium, abnormal	http://purl.obolibrary.org/obo/ZFA_0001616	atrioventricular canal endocardium	http://purl.obolibrary.org/obo/ZFA_0001616	atrioventricular canal endocardium
http://purl.obolibrary.org/obo/ZP_0104322	basal communicating artery fused with primordial midbrain channel, abnormal	http://purl.obolibrary.org/obo/ZFA_0005000	basal communicating artery	http://purl.obolibrary.org/obo/ZFA_0005017	primordial midbrain channel
http://purl.obolibrary.org/obo/ZP_0104327	basilar artery fused with primordial hindbrain channel, abnormal	http://purl.obolibrary.org/obo/ZFA_0005002	basilar artery	http://purl.obolibrary.org/obo/ZFA_0001052	primordial hindbrain channel
http://purl.obolibrary.org/obo/ZP_0146938	basioccipital fused with exoccipital, abnormal	http://purl.obolibrary.org/obo/ZFA_0000472	basioccipital	http://purl.obolibrary.org/obo/ZFA_0000661	exoccipital
