defined_class	defined_class_label	location	location_label	part_anatomical_entity	part_anatomical_entity_label	whole_anatomical_entity	whole_anatomical_entity_label
http://purl.obolibrary.org/obo/ZP_0104578	Kolmer-Agduhr neuron has fewer parts of type medial region GABAergic neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009276	GABAergic neuron	http://purl.obolibrary.org/obo/ZFA_0005240	Kolmer-Agduhr neuron	http://purl.obolibrary.org/obo/BSPO_0000083	medial region
http://purl.obolibrary.org/obo/ZP_0104540	Kolmer-Agduhr neuron has fewer parts of type ventral-most region GABAergic neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009276	GABAergic neuron	http://purl.obolibrary.org/obo/ZFA_0005240	Kolmer-Agduhr neuron	http://purl.obolibrary.org/obo/BSPO_0000039	ventral-most region
http://purl.obolibrary.org/obo/ZP_0104543	Kolmer-Agduhr neuron has fewer parts of type ventro-medial region GABAergic neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009276	GABAergic neuron	http://purl.obolibrary.org/obo/ZFA_0005240	Kolmer-Agduhr neuron	http://purl.obolibrary.org/obo/BSPO_0000112	ventro-medial region
http://purl.obolibrary.org/obo/ZP_0140416	Purkinje cell layer corpus cerebelli has fewer parts of type dorso-medial region Purkinje cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009071	Purkinje cell	http://purl.obolibrary.org/obo/ZFA_0001706	Purkinje cell layer corpus cerebelli	http://purl.obolibrary.org/obo/BSPO_0000069	dorso-medial region
http://purl.obolibrary.org/obo/ZP_0012516	anterior commissure has fewer parts of type medial region glial cell (sensu Vertebrata), abnormal	http://purl.obolibrary.org/obo/ZFA_0009147	glial cell (sensu Vertebrata)	http://purl.obolibrary.org/obo/ZFA_0001108	anterior commissure	http://purl.obolibrary.org/obo/BSPO_0000083	medial region
http://purl.obolibrary.org/obo/ZP_0143832	cardiac ventricle has fewer parts of type regenerating tissue cardiac ventricle lymph vessel, abnormal	http://purl.obolibrary.org/obo/ZFA_0005951	cardiac ventricle lymph vessel	http://purl.obolibrary.org/obo/ZFA_0000009	cardiac ventricle	http://purl.obolibrary.org/obo/ZFA_0005147	regenerating tissue
http://purl.obolibrary.org/obo/ZP_0139831	cerebellum has fewer parts of type posterior margin neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009248	neuron	http://purl.obolibrary.org/obo/ZFA_0000100	cerebellum	http://purl.obolibrary.org/obo/BSPO_0000672	posterior margin
http://purl.obolibrary.org/obo/ZP_0008432	cranial neural crest has fewer parts of type medial region cranial neural crest cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009003	cranial neural crest cell	http://purl.obolibrary.org/obo/ZFA_0001194	cranial neural crest	http://purl.obolibrary.org/obo/BSPO_0000083	medial region
http://purl.obolibrary.org/obo/ZP_0016074	diencephalon has fewer parts of type ventral region dopaminergic neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009301	dopaminergic neuron	http://purl.obolibrary.org/obo/ZFA_0000101	diencephalon	http://purl.obolibrary.org/obo/BSPO_0000084	ventral region
http://purl.obolibrary.org/obo/ZP_0002242	dorsal habenular nucleus has fewer parts of type medial region neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009248	neuron	http://purl.obolibrary.org/obo/ZFA_0000197	dorsal habenular nucleus	http://purl.obolibrary.org/obo/BSPO_0000083	medial region
