defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/ZP_0102157	B cell activation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0042113	B cell activation
http://purl.obolibrary.org/obo/ZP_0015230	B cell differentiation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0030183	B cell differentiation
http://purl.obolibrary.org/obo/ZP_0010355	Kupffer's vesicle development arrested, abnormal	http://purl.obolibrary.org/obo/GO_0070121	Kupffer's vesicle development
http://purl.obolibrary.org/obo/ZP_0001872	Schwann cell development arrested, abnormal	http://purl.obolibrary.org/obo/GO_0014044	Schwann cell development
http://purl.obolibrary.org/obo/ZP_0001871	Schwann cell differentiation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0014037	Schwann cell differentiation
http://purl.obolibrary.org/obo/ZP_0102156	T cell activation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0042110	T cell activation
http://purl.obolibrary.org/obo/ZP_0008000	T cell differentiation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0030217	T cell differentiation
http://purl.obolibrary.org/obo/ZP_0102155	T cell receptor V(D)J recombination arrested, abnormal	http://purl.obolibrary.org/obo/GO_0033153	T cell receptor V(D)J recombination
http://purl.obolibrary.org/obo/ZP_0008001	alpha-beta T cell differentiation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0046632	alpha-beta T cell differentiation
http://purl.obolibrary.org/obo/ZP_0019692	amacrine cell differentiation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0035881	amacrine cell differentiation
http://purl.obolibrary.org/obo/ZP_0018298	angioblast cell migration from lateral mesoderm to midline arrested, abnormal	http://purl.obolibrary.org/obo/GO_0035479	angioblast cell migration from lateral mesoderm to midline
http://purl.obolibrary.org/obo/ZP_0004761	angiogenesis arrested, abnormal	http://purl.obolibrary.org/obo/GO_0001525	angiogenesis
http://purl.obolibrary.org/obo/ZP_0019777	apoptotic cell clearance arrested, abnormal	http://purl.obolibrary.org/obo/GO_0043277	apoptotic cell clearance
http://purl.obolibrary.org/obo/ZP_0005575	artery development arrested, abnormal	http://purl.obolibrary.org/obo/GO_0060840	artery development
http://purl.obolibrary.org/obo/ZP_0017394	atrioventricular valve development arrested, abnormal	http://purl.obolibrary.org/obo/GO_0003171	atrioventricular valve development
http://purl.obolibrary.org/obo/ZP_0017633	autophagosome maturation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0097352	autophagosome maturation
http://purl.obolibrary.org/obo/ZP_0005888	axis elongation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0003401	axis elongation
http://purl.obolibrary.org/obo/ZP_0006325	axis specification arrested, abnormal	http://purl.obolibrary.org/obo/GO_0009798	axis specification
http://purl.obolibrary.org/obo/ZP_0009331	axon extension involved in axon guidance arrested, abnormal	http://purl.obolibrary.org/obo/GO_0048846	axon extension involved in axon guidance
http://purl.obolibrary.org/obo/ZP_0005487	axonogenesis arrested, abnormal	http://purl.obolibrary.org/obo/GO_0007409	axonogenesis
http://purl.obolibrary.org/obo/ZP_0010503	behavioral fear response arrested, abnormal	http://purl.obolibrary.org/obo/GO_0001662	behavioral fear response
http://purl.obolibrary.org/obo/ZP_0000450	blood circulation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0008015	blood circulation
http://purl.obolibrary.org/obo/ZP_0007273	blood vessel development arrested, abnormal	http://purl.obolibrary.org/obo/GO_0001568	blood vessel development
http://purl.obolibrary.org/obo/ZP_0145116	bone mineralization arrested, abnormal	http://purl.obolibrary.org/obo/GO_0030282	bone mineralization
http://purl.obolibrary.org/obo/ZP_0008467	brain morphogenesis arrested, abnormal	http://purl.obolibrary.org/obo/GO_0048854	brain morphogenesis
http://purl.obolibrary.org/obo/ZP_0005780	camera-type eye development arrested, abnormal	http://purl.obolibrary.org/obo/GO_0043010	camera-type eye development
http://purl.obolibrary.org/obo/ZP_0017469	camera-type eye photoreceptor cell differentiation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0060219	camera-type eye photoreceptor cell differentiation
http://purl.obolibrary.org/obo/ZP_0006616	cardiac conduction arrested, abnormal	http://purl.obolibrary.org/obo/GO_0061337	cardiac conduction
http://purl.obolibrary.org/obo/ZP_0006954	cardiac muscle cell differentiation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0055007	cardiac muscle cell differentiation
http://purl.obolibrary.org/obo/ZP_0005591	cardiac muscle cell proliferation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0060038	cardiac muscle cell proliferation
http://purl.obolibrary.org/obo/ZP_0006164	cardiac muscle contraction arrested, abnormal	http://purl.obolibrary.org/obo/GO_0060048	cardiac muscle contraction
http://purl.obolibrary.org/obo/ZP_0004322	cardiac muscle progenitor cell migration to the midline involved in heart field formation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0003261	cardiac muscle progenitor cell migration to the midline involved in heart field formation
http://purl.obolibrary.org/obo/ZP_0102083	cardioblast cell midline fusion arrested, abnormal	http://purl.obolibrary.org/obo/GO_0003317	cardioblast cell midline fusion
http://purl.obolibrary.org/obo/ZP_0016138	cell communication by electrical coupling arrested, abnormal	http://purl.obolibrary.org/obo/GO_0010644	cell communication by electrical coupling
http://purl.obolibrary.org/obo/ZP_0022846	cell cycle G1/S phase transition arrested, abnormal	http://purl.obolibrary.org/obo/GO_0044843	cell cycle G1/S phase transition
http://purl.obolibrary.org/obo/ZP_0000303	cell cycle arrested, abnormal	http://purl.obolibrary.org/obo/GO_0007049	cell cycle
http://purl.obolibrary.org/obo/ZP_0006331	cell cycle process arrested, abnormal	http://purl.obolibrary.org/obo/GO_0022402	cell cycle process
http://purl.obolibrary.org/obo/ZP_0019143	cell division arrested, abnormal	http://purl.obolibrary.org/obo/GO_0051301	cell division
http://purl.obolibrary.org/obo/ZP_0004078	cell migration arrested, abnormal	http://purl.obolibrary.org/obo/GO_0016477	cell migration
http://purl.obolibrary.org/obo/ZP_0004390	cell migration involved in sprouting angiogenesis arrested, abnormal	http://purl.obolibrary.org/obo/GO_0002042	cell migration involved in sprouting angiogenesis
http://purl.obolibrary.org/obo/ZP_0000940	cellular pigment accumulation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0043482	cellular pigment accumulation
