defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label	shape	shape_label
http://purl.obolibrary.org/obo/ZP_0142075	GABAergic neuron optic tectum decreased branchiness, abnormal	http://purl.obolibrary.org/obo/ZFA_0009276	GABAergic neuron	http://purl.obolibrary.org/obo/ZFA_0000445	optic tectum	http://purl.obolibrary.org/obo/PATO_0002286	decreased branchiness
http://purl.obolibrary.org/obo/ZP_0142098	Golgi apparatus ventral wall of dorsal aorta elongated, abnormal	http://purl.obolibrary.org/obo/GO_0005794	Golgi apparatus	http://purl.obolibrary.org/obo/ZFA_0005028	ventral wall of dorsal aorta	http://purl.obolibrary.org/obo/PATO_0001154	elongated
http://purl.obolibrary.org/obo/ZP_0019066	T-tubule skeletal muscle cell bent, abnormal	http://purl.obolibrary.org/obo/GO_0030315	T-tubule	http://purl.obolibrary.org/obo/ZFA_0009115	skeletal muscle cell	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/ZP_0000756	Z disc cardiac muscle cell shape, abnormal	http://purl.obolibrary.org/obo/GO_0030018	Z disc	http://purl.obolibrary.org/obo/ZFA_0009316	cardiac muscle cell	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/ZP_0005313	actin filament blastomere branched, abnormal	http://purl.obolibrary.org/obo/GO_0005884	actin filament	http://purl.obolibrary.org/obo/ZFA_0000093	blastomere	http://purl.obolibrary.org/obo/PATO_0000402	branched
http://purl.obolibrary.org/obo/ZP_0104650	afferent neuron posterior lateral line neuromast branchiness, abnormal	http://purl.obolibrary.org/obo/ZFA_0009238	afferent neuron	http://purl.obolibrary.org/obo/ZFA_0000940	posterior lateral line neuromast	http://purl.obolibrary.org/obo/PATO_0002009	branchiness
http://purl.obolibrary.org/obo/ZP_0017569	anatomical axis trunk bent, abnormal	http://purl.obolibrary.org/obo/BSPO_0000010	anatomical axis	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/ZP_0006717	anatomical axis trunk curved, abnormal	http://purl.obolibrary.org/obo/BSPO_0000010	anatomical axis	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0009363	anatomical axis trunk increased curvature, abnormal	http://purl.obolibrary.org/obo/BSPO_0000010	anatomical axis	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/ZP_0020197	anatomical axis whole organism bent, abnormal	http://purl.obolibrary.org/obo/BSPO_0000010	anatomical axis	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/ZP_0013967	anatomical axis whole organism curvature, abnormal	http://purl.obolibrary.org/obo/BSPO_0000010	anatomical axis	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/PATO_0001591	curvature
http://purl.obolibrary.org/obo/ZP_0005481	anatomical axis whole organism curved dorsal, abnormal	http://purl.obolibrary.org/obo/BSPO_0000010	anatomical axis	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/PATO_0001468	curved dorsal
http://purl.obolibrary.org/obo/ZP_0005186	anatomical axis whole organism curved, abnormal	http://purl.obolibrary.org/obo/BSPO_0000010	anatomical axis	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0009482	anatomical axis whole organism shortened, abnormal	http://purl.obolibrary.org/obo/BSPO_0000010	anatomical axis	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/PATO_0002364	shortened
http://purl.obolibrary.org/obo/ZP_0008742	anatomical compartment boundary somite shape, abnormal	http://purl.obolibrary.org/obo/BSPO_0000092	anatomical compartment boundary	http://purl.obolibrary.org/obo/ZFA_0000155	somite	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/ZP_0017159	anatomical margin EVL scalloped, abnormal	http://purl.obolibrary.org/obo/BSPO_0000006	anatomical margin	http://purl.obolibrary.org/obo/ZFA_0000086	EVL	http://purl.obolibrary.org/obo/PATO_0001889	scalloped
http://purl.obolibrary.org/obo/ZP_0020470	anatomical margin dorsal aorta shape, abnormal	http://purl.obolibrary.org/obo/BSPO_0000006	anatomical margin	http://purl.obolibrary.org/obo/ZFA_0000014	dorsal aorta	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/ZP_0107056	anatomical margin median fin fold irregularly shaped, abnormal	http://purl.obolibrary.org/obo/BSPO_0000006	anatomical margin	http://purl.obolibrary.org/obo/ZFA_0000040	median fin fold	http://purl.obolibrary.org/obo/PATO_0005020	irregularly shaped
http://purl.obolibrary.org/obo/ZP_0107057	anatomical margin pectoral fin irregularly shaped, abnormal	http://purl.obolibrary.org/obo/BSPO_0000006	anatomical margin	http://purl.obolibrary.org/obo/ZFA_0001161	pectoral fin	http://purl.obolibrary.org/obo/PATO_0005020	irregularly shaped
http://purl.obolibrary.org/obo/ZP_0020471	anatomical margin posterior cardinal vein shape, abnormal	http://purl.obolibrary.org/obo/BSPO_0000006	anatomical margin	http://purl.obolibrary.org/obo/ZFA_0000477	posterior cardinal vein	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/ZP_0012539	anatomical region secondary motor neuron split, abnormal	http://purl.obolibrary.org/obo/BSPO_0000070	anatomical region	http://purl.obolibrary.org/obo/ZFA_0009247	secondary motor neuron	http://purl.obolibrary.org/obo/PATO_0001786	split
http://purl.obolibrary.org/obo/ZP_0146269	anatomical surface caudal vein plexus irregularly shaped, abnormal	http://purl.obolibrary.org/obo/BSPO_0000005	anatomical surface	http://purl.obolibrary.org/obo/ZFA_0001286	caudal vein plexus	http://purl.obolibrary.org/obo/PATO_0005020	irregularly shaped
http://purl.obolibrary.org/obo/ZP_0103453	angiogenic sprout central artery decreased branchiness, abnormal	http://purl.obolibrary.org/obo/ZFA_0005604	angiogenic sprout	http://purl.obolibrary.org/obo/ZFA_0005020	central artery	http://purl.obolibrary.org/obo/PATO_0002286	decreased branchiness
http://purl.obolibrary.org/obo/ZP_0018763	animal-vegetal axis whole organism elongated, abnormal	http://purl.obolibrary.org/obo/BSPO_0000199	animal-vegetal axis	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/PATO_0001154	elongated
http://purl.obolibrary.org/obo/ZP_0102974	anterior margin ethmoid cartilage emarginate, abnormal	http://purl.obolibrary.org/obo/BSPO_0000671	anterior margin	http://purl.obolibrary.org/obo/ZFA_0001405	ethmoid cartilage	http://purl.obolibrary.org/obo/PATO_0002234	emarginate
http://purl.obolibrary.org/obo/ZP_0146932	anterior region basioccipital convex, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0000472	basioccipital	http://purl.obolibrary.org/obo/PATO_0001355	convex
http://purl.obolibrary.org/obo/ZP_0101760	anterior region brain increased curvature, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0000008	brain	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/ZP_0008490	anterior region cranial vault flattened, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0005606	cranial vault	http://purl.obolibrary.org/obo/PATO_0002254	flattened
http://purl.obolibrary.org/obo/ZP_0101649	anterior region cranial vault truncated, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0005606	cranial vault	http://purl.obolibrary.org/obo/PATO_0000936	truncated
http://purl.obolibrary.org/obo/ZP_0005873	anterior region head flattened, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001114	head	http://purl.obolibrary.org/obo/PATO_0002254	flattened
http://purl.obolibrary.org/obo/ZP_0020824	anterior region head shortened, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001114	head	http://purl.obolibrary.org/obo/PATO_0002364	shortened
http://purl.obolibrary.org/obo/ZP_0005334	anterior region head truncated, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001114	head	http://purl.obolibrary.org/obo/PATO_0000936	truncated
http://purl.obolibrary.org/obo/ZP_0002578	anterior region hindbrain truncated, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0000029	hindbrain	http://purl.obolibrary.org/obo/PATO_0000936	truncated
http://purl.obolibrary.org/obo/ZP_0143518	anterior region neurocranium cleft, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001580	neurocranium	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/ZP_0015707	anterior region neuroectoderm truncated, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001120	neuroectoderm	http://purl.obolibrary.org/obo/PATO_0000936	truncated
http://purl.obolibrary.org/obo/ZP_0006919	anterior region pronephros truncated, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0000151	pronephros	http://purl.obolibrary.org/obo/PATO_0000936	truncated
http://purl.obolibrary.org/obo/ZP_0016302	anterior region trunk bent, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/ZP_0016096	anterior region trunk kinked, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/PATO_0001798	kinked
http://purl.obolibrary.org/obo/ZP_0138111	anterior region vertebral column straight, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001559	vertebral column	http://purl.obolibrary.org/obo/PATO_0002180	straight
http://purl.obolibrary.org/obo/ZP_0008795	anterior region whole organism truncated, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/PATO_0000936	truncated
http://purl.obolibrary.org/obo/ZP_0147780	anterior side head flat, abnormal	http://purl.obolibrary.org/obo/BSPO_0000055	anterior side	http://purl.obolibrary.org/obo/ZFA_0001114	head	http://purl.obolibrary.org/obo/PATO_0000407	flat
http://purl.obolibrary.org/obo/ZP_0008428	anterior-most region head antero-posteriorly flattened, abnormal	http://purl.obolibrary.org/obo/BSPO_0000036	anterior-most region	http://purl.obolibrary.org/obo/ZFA_0001114	head	http://purl.obolibrary.org/obo/PATO_0002252	antero-posteriorly flattened
http://purl.obolibrary.org/obo/ZP_0002630	anterior-most region head flattened, abnormal	http://purl.obolibrary.org/obo/BSPO_0000036	anterior-most region	http://purl.obolibrary.org/obo/ZFA_0001114	head	http://purl.obolibrary.org/obo/PATO_0002254	flattened
http://purl.obolibrary.org/obo/ZP_0008429	anterior-most region head shortened, abnormal	http://purl.obolibrary.org/obo/BSPO_0000036	anterior-most region	http://purl.obolibrary.org/obo/ZFA_0001114	head	http://purl.obolibrary.org/obo/PATO_0002364	shortened
http://purl.obolibrary.org/obo/ZP_0002629	anterior-most region head truncated, abnormal	http://purl.obolibrary.org/obo/BSPO_0000036	anterior-most region	http://purl.obolibrary.org/obo/ZFA_0001114	head	http://purl.obolibrary.org/obo/PATO_0000936	truncated
http://purl.obolibrary.org/obo/ZP_0007486	anterior-most region telencephalon truncated, abnormal	http://purl.obolibrary.org/obo/BSPO_0000036	anterior-most region	http://purl.obolibrary.org/obo/ZFA_0000079	telencephalon	http://purl.obolibrary.org/obo/PATO_0000936	truncated
http://purl.obolibrary.org/obo/ZP_0009361	anterior-posterior axis axis elongated, abnormal	http://purl.obolibrary.org/obo/BSPO_0000013	anterior-posterior axis	http://purl.obolibrary.org/obo/ZFA_0000092	axis	http://purl.obolibrary.org/obo/PATO_0001154	elongated
http://purl.obolibrary.org/obo/ZP_0009362	anterior-posterior axis axis shortened, abnormal	http://purl.obolibrary.org/obo/BSPO_0000013	anterior-posterior axis	http://purl.obolibrary.org/obo/ZFA_0000092	axis	http://purl.obolibrary.org/obo/PATO_0002364	shortened
http://purl.obolibrary.org/obo/ZP_0010013	anterior-posterior axis trunk bifurcated, abnormal	http://purl.obolibrary.org/obo/BSPO_0000013	anterior-posterior axis	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/PATO_0001784	bifurcated
