defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/MP_0030675	abnormal acetylcholine level	http://purl.obolibrary.org/obo/CHEBI_15355	acetylcholine
http://purl.obolibrary.org/obo/MP_0012233	abnormal acidic glycosphingolipid level	http://purl.obolibrary.org/obo/CHEBI_36526	acidic glycosphingolipid
http://purl.obolibrary.org/obo/MP_0004891	abnormal adiponectin level	http://purl.obolibrary.org/obo/PR_000003777	adiponectin
http://purl.obolibrary.org/obo/MP_0003962	abnormal adrenaline level	http://purl.obolibrary.org/obo/CHEBI_33568	adrenaline
http://purl.obolibrary.org/obo/MP_0003966	abnormal adrenocorticotropin level	http://purl.obolibrary.org/obo/CHEBI_3892	corticotropin
http://purl.obolibrary.org/obo/MP_0011415	abnormal aldosterone level	http://purl.obolibrary.org/obo/CHEBI_27584	aldosterone
http://purl.obolibrary.org/obo/MP_0005332	abnormal amino acid level	http://purl.obolibrary.org/obo/CHEBI_33709	amino acid
http://purl.obolibrary.org/obo/MP_0010331	abnormal apolipoprotein level	http://purl.obolibrary.org/obo/CHEBI_39015	apolipoprotein
http://purl.obolibrary.org/obo/MP_0030663	abnormal arginine level	http://purl.obolibrary.org/obo/CHEBI_29016	arginine
http://purl.obolibrary.org/obo/MP_0030729	abnormal beta-alanine level	http://purl.obolibrary.org/obo/CHEBI_16958	beta-alanine
http://purl.obolibrary.org/obo/MP_0004774	abnormal bile salt level	http://purl.obolibrary.org/obo/CHEBI_22868	bile salt
http://purl.obolibrary.org/obo/MP_0005320	abnormal biopterin level	http://purl.obolibrary.org/obo/CHEBI_15373	biopterin
http://purl.obolibrary.org/obo/MP_0009812	abnormal bradykinin level	http://purl.obolibrary.org/obo/CHEBI_3165	bradykinin
http://purl.obolibrary.org/obo/MP_0020879	abnormal calcium level	http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom
http://purl.obolibrary.org/obo/MP_0003860	abnormal carbon dioxide level	http://purl.obolibrary.org/obo/CHEBI_16526	carbon dioxide
http://purl.obolibrary.org/obo/MP_0011479	abnormal catecholamine level	http://purl.obolibrary.org/obo/CHEBI_33567	catecholamine
http://purl.obolibrary.org/obo/MP_0012232	abnormal ceramide level	http://purl.obolibrary.org/obo/CHEBI_17761	ceramide
http://purl.obolibrary.org/obo/MP_0012007	abnormal chloride level	http://purl.obolibrary.org/obo/CHEBI_17996	chloride
http://purl.obolibrary.org/obo/MP_0003947	abnormal cholesterol level	http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol
http://purl.obolibrary.org/obo/MP_0010214	abnormal circulating serum amyloid protein level	http://purl.obolibrary.org/obo/PR_000025853	primate-type serum amyloid A-2 protein
http://purl.obolibrary.org/obo/MP_0003952	abnormal copper level	http://purl.obolibrary.org/obo/CHEBI_28694	copper atom
http://purl.obolibrary.org/obo/MP_0003963	abnormal corticosterone level	http://purl.obolibrary.org/obo/CHEBI_16827	corticosterone
http://purl.obolibrary.org/obo/MP_0010060	abnormal creatine level	http://purl.obolibrary.org/obo/CHEBI_16919	creatine
http://purl.obolibrary.org/obo/MP_0030683	abnormal cystathionine level	http://purl.obolibrary.org/obo/CHEBI_17755	cystathionine
http://purl.obolibrary.org/obo/MP_0001905	abnormal dopamine level	http://purl.obolibrary.org/obo/CHEBI_18243	dopamine
http://purl.obolibrary.org/obo/MP_0011283	abnormal erythropoietin level	http://purl.obolibrary.org/obo/PR_000007141	erythropoietin
http://purl.obolibrary.org/obo/MP_0012220	abnormal ether lipid level	http://purl.obolibrary.org/obo/CHEBI_64611	ether lipid
http://purl.obolibrary.org/obo/MP_0005280	abnormal fatty acid level	http://purl.obolibrary.org/obo/CHEBI_35366	fatty acid
http://purl.obolibrary.org/obo/MP_0011230	abnormal folic acid level	http://purl.obolibrary.org/obo/CHEBI_27470	folic acid
http://purl.obolibrary.org/obo/MP_0003967	abnormal follicle stimulating hormone level	http://purl.obolibrary.org/obo/CHEBI_81569	Follicle stimulating hormone
http://purl.obolibrary.org/obo/MP_0020380	abnormal galactolipid level	http://purl.obolibrary.org/obo/CHEBI_5254	galactolipid
http://purl.obolibrary.org/obo/MP_0030731	abnormal gamma-aminobutyric acid level	http://purl.obolibrary.org/obo/CHEBI_16865	gamma-aminobutyric acid
http://purl.obolibrary.org/obo/MP_0012231	abnormal ganglioside level	http://purl.obolibrary.org/obo/CHEBI_28892	ganglioside
http://purl.obolibrary.org/obo/MP_0002866	abnormal glutamic acid decarboxylase level	http://purl.obolibrary.org/obo/PR_000007785	glutamate decarboxylase 1
http://purl.obolibrary.org/obo/MP_0030735	abnormal glutamic acid level	http://purl.obolibrary.org/obo/CHEBI_18237	glutamic acid
http://purl.obolibrary.org/obo/MP_0030705	abnormal glutamine level	http://purl.obolibrary.org/obo/CHEBI_28300	glutamine
http://purl.obolibrary.org/obo/MP_0012603	abnormal glutathione level	http://purl.obolibrary.org/obo/CHEBI_16856	glutathione
http://purl.obolibrary.org/obo/MP_0003439	abnormal glycerol level	http://purl.obolibrary.org/obo/CHEBI_17754	glycerol
http://purl.obolibrary.org/obo/MP_0030657	abnormal glycine level	http://purl.obolibrary.org/obo/CHEBI_15428	glycine
http://purl.obolibrary.org/obo/MP_0005437	abnormal glycogen level	http://purl.obolibrary.org/obo/CHEBI_28087	glycogen
http://purl.obolibrary.org/obo/MP_0011475	abnormal glycosaminoglycan level	http://purl.obolibrary.org/obo/CHEBI_18085	glycosaminoglycan
http://purl.obolibrary.org/obo/MP_0020194	abnormal glycosphingolipid level	http://purl.obolibrary.org/obo/CHEBI_24402	glycosphingolipid
http://purl.obolibrary.org/obo/MP_0030754	abnormal histamine level	http://purl.obolibrary.org/obo/CHEBI_18295	histamine
http://purl.obolibrary.org/obo/MP_0030677	abnormal hydroxyproline level	http://purl.obolibrary.org/obo/CHEBI_24741	hydroxyproline
http://purl.obolibrary.org/obo/MP_0008831	abnormal insulin-like growth factor I level	http://purl.obolibrary.org/obo/PR_000009182	insulin-like growth factor I
http://purl.obolibrary.org/obo/MP_0001770	abnormal iron level	http://purl.obolibrary.org/obo/CHEBI_18248	iron atom
http://purl.obolibrary.org/obo/MP_0030711	abnormal isoleucine level	http://purl.obolibrary.org/obo/CHEBI_24898	isoleucine
http://purl.obolibrary.org/obo/MP_0030746	abnormal leucine level	http://purl.obolibrary.org/obo/CHEBI_25017	leucine
http://purl.obolibrary.org/obo/MP_0009813	abnormal leukotriene level	http://purl.obolibrary.org/obo/CHEBI_25029	leukotriene
http://purl.obolibrary.org/obo/MP_0001547	abnormal lipid level	http://purl.obolibrary.org/obo/CHEBI_18059	lipid
http://purl.obolibrary.org/obo/MP_0010329	abnormal lipoprotein level	http://purl.obolibrary.org/obo/CHEBI_6495	lipoprotein
http://purl.obolibrary.org/obo/MP_0003969	abnormal luteinizing hormone level	http://purl.obolibrary.org/obo/CHEBI_81568	Luteinizing hormone
