defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/MP_0005017	decreased B cell number	http://purl.obolibrary.org/obo/CL_0000236	B cell
http://purl.obolibrary.org/obo/MP_0004978	decreased B-1 B cell number	http://purl.obolibrary.org/obo/CL_0000819	B-1 B cell
http://purl.obolibrary.org/obo/MP_0008168	decreased B-1a cell number	http://purl.obolibrary.org/obo/CL_0000820	B-1a B cell
http://purl.obolibrary.org/obo/MP_0008170	decreased B-1b cell number	http://purl.obolibrary.org/obo/CL_0000821	B-1b B cell
http://purl.obolibrary.org/obo/MP_0008207	decreased B-2 B cell number	http://purl.obolibrary.org/obo/CL_0000822	B-2 B cell
http://purl.obolibrary.org/obo/MP_0010169	decreased CD4-positive, CD25-positive, alpha-beta regulatory T cell number	http://purl.obolibrary.org/obo/CL_0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell
http://purl.obolibrary.org/obo/MP_0008075	decreased CD4-positive, alpha beta T cell number	http://purl.obolibrary.org/obo/CL_0000624	CD4-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0010836	decreased CD4-positive, alpha-beta memory T cell number	http://purl.obolibrary.org/obo/CL_0000897	CD4-positive, alpha-beta memory T cell
http://purl.obolibrary.org/obo/MP_0008359	decreased CD4-positive, gamma-delta intraepithelial T cell number	http://purl.obolibrary.org/obo/CL_0000803	CD4-negative CD8-negative gamma-delta intraepithelial T cell
http://purl.obolibrary.org/obo/MP_0008079	decreased CD8-positive, alpha-beta T cell number	http://purl.obolibrary.org/obo/CL_0000625	CD8-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0010839	decreased CD8-positive, alpha-beta memory T cell number	http://purl.obolibrary.org/obo/CL_0000909	CD8-positive, alpha-beta memory T cell
http://purl.obolibrary.org/obo/MP_0008363	decreased CD8-positive, gamma-delta intraepithelial T cell number	http://purl.obolibrary.org/obo/CL_0000802	CD8-alpha alpha positive, gamma-delta intraepithelial T cell
http://purl.obolibrary.org/obo/MP_0013435	decreased CD8-positive, naive alpha-beta T cell number	http://purl.obolibrary.org/obo/CL_0000900	naive thymus-derived CD8-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0008031	decreased Cajal-Retzius cell number	http://purl.obolibrary.org/obo/CL_0000695	Cajal-Retzius cell
http://purl.obolibrary.org/obo/MP_0008119	decreased Langerhans cell number	http://purl.obolibrary.org/obo/CL_0000453	Langerhans cell
http://purl.obolibrary.org/obo/MP_0008040	decreased NK T cell number	http://purl.obolibrary.org/obo/CL_0000814	mature NK T cell
http://purl.obolibrary.org/obo/MP_0008045	decreased NK cell number	http://purl.obolibrary.org/obo/CL_0000623	natural killer cell
http://purl.obolibrary.org/obo/MP_0009186	decreased PP cell number	http://purl.obolibrary.org/obo/CL_0000696	PP cell
http://purl.obolibrary.org/obo/MP_0013486	decreased Paneth cell number	http://purl.obolibrary.org/obo/CL_0000510	paneth cell
http://purl.obolibrary.org/obo/MP_0000880	decreased Purkinje cell number	http://purl.obolibrary.org/obo/CL_0000121	Purkinje cell
http://purl.obolibrary.org/obo/MP_0001107	decreased Schwann cell number	http://purl.obolibrary.org/obo/CL_0000218	myelinating Schwann cell
http://purl.obolibrary.org/obo/MP_0004075	decreased Schwann cell precursor number	http://purl.obolibrary.org/obo/CL_0002375	Schwann cell precursor
http://purl.obolibrary.org/obo/MP_0005018	decreased T cell number	http://purl.obolibrary.org/obo/CL_0000084	T cell
http://purl.obolibrary.org/obo/MP_0008087	decreased T helper 1 cell number	http://purl.obolibrary.org/obo/CL_0000545	T-helper 1 cell
http://purl.obolibrary.org/obo/MP_0008091	decreased T-helper 2 cell number	http://purl.obolibrary.org/obo/CL_0000546	T-helper 2 cell
http://purl.obolibrary.org/obo/MP_0013764	decreased T-helper cell number	http://purl.obolibrary.org/obo/CL_0000912	helper T cell
http://purl.obolibrary.org/obo/MP_0012765	decreased alpha-beta T cell number	http://purl.obolibrary.org/obo/CL_0000789	alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0010890	decreased alveolar lamellar body number	http://purl.obolibrary.org/obo/GO_0097208	alveolar lamellar body
