defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/MP_0002429	abnormal blood cell morphology/development	http://purl.obolibrary.org/obo/CL_0000081	blood cell
http://purl.obolibrary.org/obo/MP_0002398	abnormal bone marrow cell morphology/development	http://purl.obolibrary.org/obo/CL_0002092	bone marrow cell
http://purl.obolibrary.org/obo/MP_0004098	abnormal cerebellar granule cell morphology	http://purl.obolibrary.org/obo/CL_0000120	granule cell
http://purl.obolibrary.org/obo/MP_0001124	abnormal gametes	http://purl.obolibrary.org/obo/CL_0000300	gamete
http://purl.obolibrary.org/obo/MP_0003634	abnormal glial cell morphology	http://purl.obolibrary.org/obo/CL_0000243	glial cell (sensu Vertebrata)
http://purl.obolibrary.org/obo/MP_0005327	abnormal mesangial cell morphology	http://purl.obolibrary.org/obo/CL_0000650	mesangial cell
http://purl.obolibrary.org/obo/MP_0002414	abnormal myeloblast morphology/development	http://purl.obolibrary.org/obo/CL_0000835	myeloblast
http://purl.obolibrary.org/obo/MP_0003730	abnormal photoreceptor inner segment morphology	http://purl.obolibrary.org/obo/GO_0001917	photoreceptor inner segment
http://purl.obolibrary.org/obo/MP_0005326	abnormal podocyte morphology	http://purl.obolibrary.org/obo/CL_0000653	glomerular visceral epithelial cell
http://purl.obolibrary.org/obo/MP_0009452	abnormal synaptonemal complex	http://purl.obolibrary.org/obo/GO_0000795	synaptonemal complex
http://purl.obolibrary.org/obo/MP_0003850	abnormal thymocyte activation	http://purl.obolibrary.org/obo/CL_0000806	DN2 thymocyte
http://purl.obolibrary.org/obo/MP_0004697	abnormal thyroid follicular cell morphology	http://purl.obolibrary.org/obo/CL_0000452	thyroid hormone secreting cell
