defined_class	defined_class_label	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/MP_0012645	increased 5-aminolevulinate synthase activity	http://purl.obolibrary.org/obo/GO_0003870	5-aminolevulinate synthase activity
http://purl.obolibrary.org/obo/MP_0020446	increased NAD(P)H oxidase activity	http://purl.obolibrary.org/obo/GO_0016174	NAD(P)H oxidase (H(2)O(2)-forming activity
http://purl.obolibrary.org/obo/MP_0012625	increased acetylcholinesterase activity	http://purl.obolibrary.org/obo/GO_0003990	acetylcholinesterase activity
http://purl.obolibrary.org/obo/MP_0011584	increased alkaline phosphatase activity	http://purl.obolibrary.org/obo/GO_0004035	alkaline phosphatase activity
http://purl.obolibrary.org/obo/MP_0011593	increased catalase activity	http://purl.obolibrary.org/obo/GO_0004096	catalase activity
http://purl.obolibrary.org/obo/MP_0012586	increased catechol O-methyltransferase activity	http://purl.obolibrary.org/obo/GO_0016206	catechol O-methyltransferase activity
http://purl.obolibrary.org/obo/MP_0012591	increased choline O-acetyltransferase activity	http://purl.obolibrary.org/obo/GO_0004102	choline O-acetyltransferase activity
http://purl.obolibrary.org/obo/MP_0020033	increased cholinesterase activity	http://purl.obolibrary.org/obo/GO_0004104	cholinesterase activity
http://purl.obolibrary.org/obo/MP_0020309	increased creatine kinase activity	http://purl.obolibrary.org/obo/GO_0004111	creatine kinase activity
http://purl.obolibrary.org/obo/MP_0011605	increased glucokinase activity	http://purl.obolibrary.org/obo/GO_0004340	glucokinase activity
http://purl.obolibrary.org/obo/MP_0012596	increased glutamate decarboxylase activity	http://purl.obolibrary.org/obo/GO_0004351	glutamate decarboxylase activity
http://purl.obolibrary.org/obo/MP_0011602	increased glutathione peroxidase activity	http://purl.obolibrary.org/obo/GO_0004602	glutathione peroxidase activity
http://purl.obolibrary.org/obo/MP_0011608	increased glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	http://purl.obolibrary.org/obo/GO_0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
http://purl.obolibrary.org/obo/MP_0020312	increased hydroxymethylbilane synthase activity	http://purl.obolibrary.org/obo/GO_0004418	hydroxymethylbilane synthase activity
http://purl.obolibrary.org/obo/MP_0011578	increased lipoprotein lipase activity	http://purl.obolibrary.org/obo/GO_0004465	lipoprotein lipase activity
http://purl.obolibrary.org/obo/MP_0012637	increased monoamine oxidase activity	http://purl.obolibrary.org/obo/GO_0097621	monoamine oxidase activity
http://purl.obolibrary.org/obo/MP_0012599	increased nicotinamide N-methyltransferase activity	http://purl.obolibrary.org/obo/GO_0008112	nicotinamide N-methyltransferase activity
http://purl.obolibrary.org/obo/MP_0011587	increased ornithine carbamoyltransferase activity	http://purl.obolibrary.org/obo/GO_0004585	ornithine carbamoyltransferase activity
http://purl.obolibrary.org/obo/MP_0020315	increased palmitoyl-(protein) hydrolase activity	http://purl.obolibrary.org/obo/GO_0008474	palmitoyl-(protein) hydrolase activity
http://purl.obolibrary.org/obo/MP_0012582	increased peroxidase activity	http://purl.obolibrary.org/obo/GO_0004601	peroxidase activity
http://purl.obolibrary.org/obo/MP_0020020	increased phenylalanine decarboxylase activity	http://purl.obolibrary.org/obo/GO_0050174	phenylalanine decarboxylase activity
http://purl.obolibrary.org/obo/MP_0011599	increased phosphatidylcholine-sterol O-acyltransferase activity	http://purl.obolibrary.org/obo/GO_0004607	phosphatidylcholine-sterol O-acyltransferase activity
http://purl.obolibrary.org/obo/MP_0020053	increased procollagen-proline 4-dioxygenase activity	http://purl.obolibrary.org/obo/GO_0004656	procollagen-proline 4-dioxygenase activity
http://purl.obolibrary.org/obo/MP_0020229	increased proline oxidase activity	http://purl.obolibrary.org/obo/GO_0051699	proline oxidase activity
http://purl.obolibrary.org/obo/MP_0011596	increased purine-nucleoside phosphorylase activity	http://purl.obolibrary.org/obo/GO_0004731	purine-nucleoside phosphorylase activity
http://purl.obolibrary.org/obo/MP_0020244	increased pyruvate kinase activity	http://purl.obolibrary.org/obo/GO_0004743	pyruvate kinase activity
http://purl.obolibrary.org/obo/MP_0020065	increased thiopurine S-methyltransferase activity	http://purl.obolibrary.org/obo/GO_0008119	thiopurine S-methyltransferase activity
http://purl.obolibrary.org/obo/MP_0011581	increased triglyceride lipase activity	http://purl.obolibrary.org/obo/GO_0004806	triglyceride lipase activity
http://purl.obolibrary.org/obo/MP_0020075	increased tyrosine 3-monooxygenase activity	http://purl.obolibrary.org/obo/GO_0004511	tyrosine 3-monooxygenase activity
http://purl.obolibrary.org/obo/MP_0020047	increased tyrosine aminotransferase activity	http://purl.obolibrary.org/obo/GO_0070547	L-tyrosine aminotransferase activity
