defined_class	defined_class_label	behavior_process	behavior_process_label
http://purl.obolibrary.org/obo/MP_0002554	aversion to addictive substance	http://purl.obolibrary.org/obo/NBO_0002234	regulation of consumption of an addictive substance
http://purl.obolibrary.org/obo/MP_0005656	decreased aggression	http://purl.obolibrary.org/obo/NBO_0000015	aggressive behavior
http://purl.obolibrary.org/obo/MP_0003862	decreased aggression towards males	http://purl.obolibrary.org/obo/NBO_0000110	aggressive behavior towards male mice
http://purl.obolibrary.org/obo/MP_0003863	decreased aggression towards mice	http://purl.obolibrary.org/obo/NBO_0000107	aggressive behavior towards mice
http://purl.obolibrary.org/obo/MP_0003546	decreased alcohol consumption	http://purl.obolibrary.org/obo/NBO_0000131	alcohol consumption
http://purl.obolibrary.org/obo/MP_0001364	decreased anxiety-related response	http://purl.obolibrary.org/obo/NBO_0000092	anxiety-related behavior
http://purl.obolibrary.org/obo/MP_0008532	decreased chemical nociceptive threshold	http://purl.obolibrary.org/obo/NBO_0000333	chemical nociceptive behavior
http://purl.obolibrary.org/obo/MP_0001982	decreased chemically-elicited antinociception	http://purl.obolibrary.org/obo/NBO_0000336	chemically-elicited antinociceptive behavior
http://purl.obolibrary.org/obo/MP_0003064	decreased coping response	http://purl.obolibrary.org/obo/NBO_0000103	coping behavior
http://purl.obolibrary.org/obo/MP_0001417	decreased exploration in new environment	http://purl.obolibrary.org/obo/NBO_0000097	response to novel environment
http://purl.obolibrary.org/obo/MP_0003460	decreased fear-related response	http://purl.obolibrary.org/obo/NBO_0000091	fear-related behavior
http://purl.obolibrary.org/obo/MP_0001442	decreased grooming behavior	http://purl.obolibrary.org/obo/NBO_0000027	grooming behavior
http://purl.obolibrary.org/obo/MP_0001489	decreased startle reflex	http://purl.obolibrary.org/obo/NBO_0000391	startle reflex
http://purl.obolibrary.org/obo/MP_0003998	decreased thermal nociceptive threshold	http://purl.obolibrary.org/obo/NBO_0000335	thermal nociceptive behavior
http://purl.obolibrary.org/obo/MP_0020870	decreased thigmotaxis	http://purl.obolibrary.org/obo/NBO_0000381	thigmotaxis
http://purl.obolibrary.org/obo/MP_0002757	decreased vertical activity	http://purl.obolibrary.org/obo/NBO_0000448	vertical activity
http://purl.obolibrary.org/obo/MP_0020351	decreased vocalization	http://purl.obolibrary.org/obo/NBO_0000037	vocalization behavior
http://purl.obolibrary.org/obo/MP_0003158	dysphagia	http://purl.obolibrary.org/obo/NBO_0000545	swallowing
http://purl.obolibrary.org/obo/MP_0009455	enhanced cued conditioning behavior	http://purl.obolibrary.org/obo/NBO_0000224	cued conditioning behavior
http://purl.obolibrary.org/obo/MP_0003043	hypoalgesia	http://purl.obolibrary.org/obo/NBO_0000331	nociceptive behavior
http://purl.obolibrary.org/obo/MP_0005498	hyporesponsive to tactile stimuli	http://purl.obolibrary.org/obo/NBO_0000332	touch related behavior
http://purl.obolibrary.org/obo/MP_0001525	impaired balance	http://purl.obolibrary.org/obo/NBO_0000318	balance
http://purl.obolibrary.org/obo/MP_0009750	impaired behavioral response to addictive substance	http://purl.obolibrary.org/obo/NBO_0001728	behavioral response to addictive substance
http://purl.obolibrary.org/obo/MP_0009755	impaired behavioral response to alcohol	http://purl.obolibrary.org/obo/NBO_0001763	behavioral response to alcohol
http://purl.obolibrary.org/obo/MP_0009778	impaired behavioral response to anesthetic	http://purl.obolibrary.org/obo/NBO_0002362	behavioral response to anesthetic
http://purl.obolibrary.org/obo/MP_0009757	impaired behavioral response to morphine	http://purl.obolibrary.org/obo/NBO_0002021	behavioral response to morphine
http://purl.obolibrary.org/obo/MP_0009756	impaired behavioral response to nicotine	http://purl.obolibrary.org/obo/NBO_0002065	behavioral response to nicotine
http://purl.obolibrary.org/obo/MP_0009747	impaired behavioral response to xenobiotic	http://purl.obolibrary.org/obo/NBO_0001679	behavioral response to xenobiotics
http://purl.obolibrary.org/obo/MP_0009712	impaired conditioned place preference behavior	http://purl.obolibrary.org/obo/NBO_0000222	conditioned place preference behavior
http://purl.obolibrary.org/obo/MP_0009454	impaired contextual conditioning behavior	http://purl.obolibrary.org/obo/NBO_0000223	contextual conditioning behavior
http://purl.obolibrary.org/obo/MP_0001405	impaired coordination	http://purl.obolibrary.org/obo/NBO_0000339	motor coordination
http://purl.obolibrary.org/obo/MP_0001524	impaired limb coordination	http://purl.obolibrary.org/obo/NBO_0000342	limb coordination
http://purl.obolibrary.org/obo/MP_0004000	impaired passive avoidance behavior	http://purl.obolibrary.org/obo/NBO_0000218	passive avoidance learning behavior
http://purl.obolibrary.org/obo/MP_0006243	impaired pupillary reflex	http://purl.obolibrary.org/obo/NBO_0000412	pupillary light reflex
http://purl.obolibrary.org/obo/MP_0001523	impaired righting response	http://purl.obolibrary.org/obo/NBO_0000578	righting reflex
http://purl.obolibrary.org/obo/MP_0001522	impaired swimming	http://purl.obolibrary.org/obo/NBO_0000371	aquatic locomotion
http://purl.obolibrary.org/obo/MP_0003238	slow REM	http://purl.obolibrary.org/obo/NBO_0000159	rapid eye movement sleep
