defined_class	defined_class_label	entity	entity_label	shape	shape_label
http://purl.obolibrary.org/obo/PLANP_0000499	abnormal shape of head	http://purl.obolibrary.org/obo/PLANA_0000418	head	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/PLANP_0000499	abnormal shape of head	http://purl.obolibrary.org/obo/PLANA_0000418	head region	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/PLANP_0000500	abnormal shape of tail	http://purl.obolibrary.org/obo/PLANA_0000421	tail	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/PLANP_0000500	abnormal shape of tail	http://purl.obolibrary.org/obo/PLANA_0000421	tail region	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/PLANP_0000493	column-like head	http://purl.obolibrary.org/obo/PLANA_0000418	head	http://purl.obolibrary.org/obo/PATO_0002063	columnar
http://purl.obolibrary.org/obo/PLANP_0000493	column-like head	http://purl.obolibrary.org/obo/PLANA_0000418	head region	http://purl.obolibrary.org/obo/PATO_0002063	columnar
http://purl.obolibrary.org/obo/PLANP_0000796	epithelial ruffles	http://purl.obolibrary.org/obo/PLANA_0002118	epithelium	http://purl.obolibrary.org/obo/PATO_0001799	ruffled
http://purl.obolibrary.org/obo/PLANP_0000797	pinched head	http://purl.obolibrary.org/obo/PLANA_0000418	head	http://purl.obolibrary.org/obo/PATO_0002239	hourglass-shaped
http://purl.obolibrary.org/obo/PLANP_0000797	pinched head	http://purl.obolibrary.org/obo/PLANA_0000418	head region	http://purl.obolibrary.org/obo/PATO_0002239	hourglass-shaped
http://purl.obolibrary.org/obo/PLANP_0000798	pinched tail	http://purl.obolibrary.org/obo/PLANA_0000421	tail	http://purl.obolibrary.org/obo/PATO_0002239	hourglass-shaped
http://purl.obolibrary.org/obo/PLANP_0000798	pinched tail	http://purl.obolibrary.org/obo/PLANA_0000421	tail region	http://purl.obolibrary.org/obo/PATO_0002239	hourglass-shaped
http://purl.obolibrary.org/obo/PLANP_0000492	pointy head	http://purl.obolibrary.org/obo/PLANA_0000418	head	http://purl.obolibrary.org/obo/PATO_0002258	pointed
http://purl.obolibrary.org/obo/PLANP_0000492	pointy head	http://purl.obolibrary.org/obo/PLANA_0000418	head region	http://purl.obolibrary.org/obo/PATO_0002258	pointed
http://purl.obolibrary.org/obo/PLANP_0000496	pointy tail	http://purl.obolibrary.org/obo/PLANA_0000421	tail	http://purl.obolibrary.org/obo/PATO_0002258	pointed
http://purl.obolibrary.org/obo/PLANP_0000496	pointy tail	http://purl.obolibrary.org/obo/PLANA_0000421	tail region	http://purl.obolibrary.org/obo/PATO_0002258	pointed
http://purl.obolibrary.org/obo/PLANP_0000799	single sided head pinching	http://purl.obolibrary.org/obo/PLANA_0000418	head	http://purl.obolibrary.org/obo/PATO_0002164	curved medial
http://purl.obolibrary.org/obo/PLANP_0000799	single sided head pinching	http://purl.obolibrary.org/obo/PLANA_0000418	head region	http://purl.obolibrary.org/obo/PATO_0002164	curved medial
http://purl.obolibrary.org/obo/PLANP_0000800	single sided tail pinching	http://purl.obolibrary.org/obo/PLANA_0000421	tail	http://purl.obolibrary.org/obo/PATO_0002164	curved medial
http://purl.obolibrary.org/obo/PLANP_0000800	single sided tail pinching	http://purl.obolibrary.org/obo/PLANA_0000421	tail region	http://purl.obolibrary.org/obo/PATO_0002164	curved medial
