Ontology ID	Label	Obsolete	Annotation	Replaced	GitHub Issue
ID	A rdfs:label	AT owl:deprecated^^xsd:boolean	AT rdfs:comment^^xsd:string	AI IAO:0100001	AI IAO:0000233
http://purl.obolibrary.org/obo/UPHENO_0000578		true	http://purl.obolibrary.org/obo/GO_0051704-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000578		
http://purl.obolibrary.org/obo/UPHENO_0000633		true	http://purl.obolibrary.org/obo/GO_0006725-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000633		
http://purl.obolibrary.org/obo/UPHENO_0000657		true	http://purl.obolibrary.org/obo/GO_0071310-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000657		
http://purl.obolibrary.org/obo/UPHENO_0000676		true	http://purl.obolibrary.org/obo/GO_1901362-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000676		
http://purl.obolibrary.org/obo/UPHENO_0000678		true	http://purl.obolibrary.org/obo/GO_1901360-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000678		
http://purl.obolibrary.org/obo/UPHENO_0000685		true	http://purl.obolibrary.org/obo/GO_0006928-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000685		
http://purl.obolibrary.org/obo/UPHENO_0000694		true	http://purl.obolibrary.org/obo/GO_1901576-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000694		
http://purl.obolibrary.org/obo/UPHENO_0000721		true	http://purl.obolibrary.org/obo/GO_0010033-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000721		
http://purl.obolibrary.org/obo/UPHENO_0000831		true	http://purl.obolibrary.org/obo/GO_0007050-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000831		
http://purl.obolibrary.org/obo/UPHENO_0000837		true	http://purl.obolibrary.org/obo/GO_0051271-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000837		
http://purl.obolibrary.org/obo/UPHENO_0000838		true	http://purl.obolibrary.org/obo/GO_0051270-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000838		
http://purl.obolibrary.org/obo/UPHENO_0000851		true	http://purl.obolibrary.org/obo/GO_0022610-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000851		
http://purl.obolibrary.org/obo/UPHENO_0000858		true	http://purl.obolibrary.org/obo/GO_0071704-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000858		
http://purl.obolibrary.org/obo/UPHENO_0000859		true	http://purl.obolibrary.org/obo/GO_0019438-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000859		
http://purl.obolibrary.org/obo/UPHENO_0000865		true	http://purl.obolibrary.org/obo/GO_0110148-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000865		
http://purl.obolibrary.org/obo/UPHENO_0000896		true	http://purl.obolibrary.org/obo/GO_0071850-abnormallyDelayedBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0000896		
http://purl.obolibrary.org/obo/UPHENO_0005411		true	http://purl.obolibrary.org/obo/NBO_0000448-abnormallyDecreasedRateOfBiologicalProcess-http://purl.obolibrary.org/obo/UPHENO_0005411		
