phenotype_id	phenotype_label	upheno_id	upheno_label
ID		SC % 	
HP:0012621	Persistent cloaca	UPHENO:0000536	delayed cloacal septation
XPO:0130903	increased size of the anterior commissure	UPHENO:0000958	increased size of the anterior commissure
XPO:0130914	increased size of the floor plate	UPHENO:0000978	increased size of the floor plate
HP:0031591	Enlarged Eustachian valve	UPHENO:0000981	increased size of the valve of inferior vena cava
XPO:0130802	increased size of the left ventricle	UPHENO:0000991	increased size of the heart left ventricle
FYPO:0000280	sterile	UPHENO:0001003	taxon specific phenotype
XPO:0129694	increased size of the adenohypophysis	UPHENO:0001014	increased size of the adenohypophysis
HP:0003271	Visceromegaly	UPHENO:0001042	increased size of the abdominal viscera
XPO:0130887	increased size of the third ventricle	UPHENO:0001065	increased size of the third ventricle
HP:0000072	Hydroureter	UPHENO:0001174	increased size of the ureter
HP:0000256	Macrocephaly	UPHENO:0001208	increased size of the head
XPO:0130087	increased size of the oviduct	UPHENO:0001226	increased size of the fallopian tube
HP:0034405	Enlarged tectum	UPHENO:0001234	increased size of the midbrain tectum
HP:0033493	Mesangial matrix expansion	UPHENO:0001247	increased size of the mesangial matrix
HP:0000053	Macroorchidism	UPHENO:0001290	increased size of the testis
HP:0034479	Enlarged epididymis	UPHENO:0001324	increased size of the epididymis
XPO:0129919	increased size of the thalamus	UPHENO:0001349	increased size of the dorsal plus ventral thalamus
HP:0012882	Hyperplastic labia majora	UPHENO:0001448	increased size of the labium majora
HP:0001355	Megalencephaly	UPHENO:0001462	increased size of the brain
WBPhenotype:0000613	reproductive system physiology variant	UPHENO:0002378	reproductive system physiology phenotype
HP:0002910	Elevated circulating hepatic transaminase concentration	UPHENO:0002415	liver physiology phenotype
HP:0031865	Abnormal liver physiology	UPHENO:0002415	liver physiology phenotype
HP:0025610	Posterior blepharitis	UPHENO:0002420	tarsal gland physiology phenotype
MP:0013392	Meibomian gland inflammation	UPHENO:0002420	tarsal gland physiology phenotype
HP:0031653	Abnormal heart valve physiology	UPHENO:0002453	cardiac valve physiology phenotype
PHIPO:0000003	tissue phenotype	UPHENO:0002564	tissue phenotype
PLANP:0000372	abnormal tissue	UPHENO:0002564	tissue phenotype
WBPhenotype:0002556	tissue phenotype	UPHENO:0002564	tissue phenotype
PLANP:0000116	abnormal embryonic structure	UPHENO:0002571	embryonic structure phenotype
MP:0010412	atrioventricular septal defect	UPHENO:0002626	atrioventricular canal phenotype
PLANP:0000051	abnormal definitive pharynx	UPHENO:0002737	chordate pharynx phenotype
PLANP:0000439	abnormal mouth	UPHENO:0002828	mouth phenotype
PLANP:0000346	abnormal ganglion	UPHENO:0002829	ganglion phenotype
PLANP:0000060	abnormal head	UPHENO:0002844	head phenotype
PLANP:0000280	abnormal testis	UPHENO:0002940	testis phenotype
PLANP:0000542	abnormal whole organism	UPHENO:0002949	multicellular organism phenotype
PLANP:0000202	abnormal anatomical system	UPHENO:0002963	anatomical system phenotype
PLANP:0000161	abnormal gonad	UPHENO:0003056	gonad phenotype
PLANP:0000620	abnormal optic nerve	UPHENO:0003114	cranial nerve II phenotype
PLANP:0000765	abnormal eye primordium	UPHENO:0003189	eye primordium phenotype
PLANP:0000036	abnormal tail	UPHENO:0003383	post-anal tail phenotype
