HP:0004403	Proximal esophageal atresia	MP:0003276	esophageal atresia	0.95	1
HP:0004400	Abnormality of the pylorus	MP:0010785	abnormal stomach pyloric region morphology	0.9583333333	0.9583333333
HP:0004401	Meconium ileus	MP:0003270	intestinal obstruction	0.84	1
HP:0004408	Abnormality of the sense of smell	MP:0001984	abnormal olfaction	1	1
HP:0004409	Hyposmia	MP:0008544	impaired olfaction	1	1
HP:0004406	Spontaneous, recurrent epistaxis	MP:0013127	epistaxis	0.984375	1
HP:0004407	Bony paranasal bossing	MP:0000102	abnormal nasal bone morphology	0.962962963	1
HP:0004415	Pulmonary artery stenosis	MP:0010457	pulmonary artery stenosis	1	1
HP:0004416	Precocious atherosclerosis	MP:0005338	atherosclerotic lesions	0.962962963	1
HP:0004414	Abnormality of the pulmonary artery	MP:0000484	abnormal pulmonary artery morphology	1	1
HP:0004411	Deviated nasal septum	MP:0002239	abnormal nasal septum morphology	0.696969697	0.71875
HP:0004419	Recurrent thrombophlebitis	MP:0002725	abnormal vein morphology	0.6818181818	1
HP:0004417	Intermittent claudication	MP:0001614	abnormal blood vessel morphology	0.75	1
HP:0004418	Thrombophlebitis	MP:0002725	abnormal vein morphology	0.7142857143	1
HP:0004426	Abnormality of the cheek	MP:0000443	abnormal snout morphology	0.6666666667	0.7777777778
HP:0004425	Flat forehead	MP:0003743	abnormal facial morphology	0.6666666667	0.8
HP:0004422	Biparietal narrowing	MP:0000438	abnormal cranium morphology	0.8787878788	1
HP:0004423	Cranium bifidum occultum	MP:0012260	encephalomeningocele	0.9743589744	1
HP:0004420	Arterial thrombosis	MP:0002396	abnormal hematopoietic system morphology/development	0.5714285714	1
HP:0004421	Elevated systolic blood pressure	MP:0000231	hypertension	0.9523809524	1
HP:0004428	Elfin facies	MP:0003743	abnormal facial morphology	0.9375	1
HP:0004429	Recurrent viral infections	MP:0002406	increased susceptibility to infection	0.9166666667	1
HP:0004437	Cranial hyperostosis	MP:0000438	abnormal cranium morphology	0.8529411765	1
HP:0004438	Hyperostosis frontalis interna	MP:0000438	abnormal cranium morphology	0.7435897436	1
HP:0004433	Secretory IgA deficiency	MP:0001807	decreased IgA level	0.9901960784	1
HP:0004434	C8 deficiency	MP:0001790	abnormal immune system physiology	0.6666666667	1
HP:0004431	Complement deficiency	MP:0001790	abnormal immune system physiology	0.7272727273	1
HP:0004432	Agammaglobulinemia	MP:0002460	decreased immunoglobulin level	0.9897959184	1
HP:0004430	Severe combined immunodeficiency	MP:0001790	abnormal immune system physiology	0.7272727273	1
HP:0004369	Decreased purine levels	MP:0008821	increased blood uric acid level	0.6923076923	0.7105263158
HP:0004367	Abnormality of glycoprotein metabolism	MP:0013243	abnormal carbohydrate metabolism	0.5	0.8181818182
HP:0004368	Increased purine levels	MP:0008821	increased blood uric acid level	0.7368421053	0.7368421053
HP:0004365	Abnormality of tryptophan metabolism	MP:0013242	abnormal amino acid metabolism	0.6	1
HP:0004366	Abnormality of glycolysis	MP:0010959	abnormal oxidative phosphorylation	0.5161290323	0.75
HP:0004363	Abnormality of calcium homeostasis	MP:0004231	abnormal calcium ion homeostasis	1	1
