defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/WBPhenotype_0001301	P granule abnormal	http://purl.obolibrary.org/obo/GO_0043186	P granule
http://purl.obolibrary.org/obo/WBPhenotype_0001354	actin cytoskeleton filament morphology phenotype	http://purl.obolibrary.org/obo/GO_0005884	actin filament
http://purl.obolibrary.org/obo/WBPhenotype_0001517	annulae morphology variant	http://purl.obolibrary.org/obo/GO_0060107	annuli extracellular matrix
http://purl.obolibrary.org/obo/WBPhenotype_0000180	axon morphology variant	http://purl.obolibrary.org/obo/GO_0030424	axon
http://purl.obolibrary.org/obo/WBPhenotype_0000262	axoneme morphology variant	http://purl.obolibrary.org/obo/GO_0005930	axoneme
http://purl.obolibrary.org/obo/WBPhenotype_0000913	basal lamina morphology variant	http://purl.obolibrary.org/obo/GO_0005604	basement membrane
http://purl.obolibrary.org/obo/WBPhenotype_0002089	cell component morphology variant	http://purl.obolibrary.org/obo/GO_0005575	cellular_component
http://purl.obolibrary.org/obo/WBPhenotype_0001657	cell junction variant	http://purl.obolibrary.org/obo/GO_0030054	cell junction
http://purl.obolibrary.org/obo/WBPhenotype_0001399	cell membrane morphology variant	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane
http://purl.obolibrary.org/obo/WBPhenotype_0001348	chromosome morphology variant	http://purl.obolibrary.org/obo/GO_0005694	chromosome
http://purl.obolibrary.org/obo/WBPhenotype_0000615	cilia morphology variant	http://purl.obolibrary.org/obo/GO_0005929	cilium
http://purl.obolibrary.org/obo/WBPhenotype_0001794	cytoplasmic processing body variant	http://purl.obolibrary.org/obo/GO_0000932	P-body
http://purl.obolibrary.org/obo/WBPhenotype_0002647	dendrite morphology variant	http://purl.obolibrary.org/obo/GO_0030425	dendrite
http://purl.obolibrary.org/obo/WBPhenotype_0002092	early endosome morphology variant	http://purl.obolibrary.org/obo/GO_0005769	early endosome
http://purl.obolibrary.org/obo/WBPhenotype_0001880	endoplasmic reticulum morphology variant	http://purl.obolibrary.org/obo/GO_0005783	endoplasmic reticulum
http://purl.obolibrary.org/obo/WBPhenotype_0002090	endosome morphology variant	http://purl.obolibrary.org/obo/GO_0005768	endosome
http://purl.obolibrary.org/obo/WBPhenotype_0001523	extracellular matrix variant	http://purl.obolibrary.org/obo/GO_0031012	extracellular matrix
http://purl.obolibrary.org/obo/WBPhenotype_0002096	golgi apparatus morphology variant	http://purl.obolibrary.org/obo/GO_0005794	Golgi apparatus
http://purl.obolibrary.org/obo/WBPhenotype_0002240	gut granule morphology variant	http://purl.obolibrary.org/obo/GO_0044840	gut granule
http://purl.obolibrary.org/obo/WBPhenotype_0001658	intercellular junction variant	http://purl.obolibrary.org/obo/GO_0005911	cell-cell junction
http://purl.obolibrary.org/obo/WBPhenotype_0002091	late endosome morphology variant	http://purl.obolibrary.org/obo/GO_0005770	late endosome
http://purl.obolibrary.org/obo/WBPhenotype_0002097	lysosome morphology variant	http://purl.obolibrary.org/obo/GO_0005764	lysosome
http://purl.obolibrary.org/obo/WBPhenotype_0001401	mitochondria morphology variant	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion
http://purl.obolibrary.org/obo/WBPhenotype_0001398	neurite morphology variant	http://purl.obolibrary.org/obo/GO_0043005	neuron projection
http://purl.obolibrary.org/obo/WBPhenotype_0001028	nuclear appearance variant	http://purl.obolibrary.org/obo/GO_0005634	cell nucleus
http://purl.obolibrary.org/obo/WBPhenotype_0001028	nuclear appearance variant	http://purl.obolibrary.org/obo/GO_0005634	nucleus
http://purl.obolibrary.org/obo/WBPhenotype_0001877	nuclear membrane morphology variant	http://purl.obolibrary.org/obo/GO_0031965	nuclear membrane
http://purl.obolibrary.org/obo/WBPhenotype_0000722	nucleolus variant	http://purl.obolibrary.org/obo/GO_0005730	nucleolus
http://purl.obolibrary.org/obo/WBPhenotype_0001263	peroxisome morphology variant	http://purl.obolibrary.org/obo/GO_0005777	peroxisome
http://purl.obolibrary.org/obo/WBPhenotype_0002093	recycling endosome morphology variant	http://purl.obolibrary.org/obo/GO_0055037	recycling endosome
http://purl.obolibrary.org/obo/WBPhenotype_0001515	struts variant	http://purl.obolibrary.org/obo/GO_0060109	medial layer of collagen and cuticulin-based cuticle extracellular matrix
http://purl.obolibrary.org/obo/WBPhenotype_0000616	synapse morphology variant	http://purl.obolibrary.org/obo/GO_0045202	synapse
http://purl.obolibrary.org/obo/WBPhenotype_0001674	telomere morphology variant	http://purl.obolibrary.org/obo/GO_0000781	chromosome, telomeric region
http://purl.obolibrary.org/obo/WBPhenotype_0001746	tight junction defective	http://purl.obolibrary.org/obo/GO_0070160	tight junction
http://purl.obolibrary.org/obo/WBPhenotype_0001323	vesicle morphology variant	http://purl.obolibrary.org/obo/GO_0031982	vesicle
