?baseClass	?baseLabel	?equivalentClass	?equivalentLabel
<http://purl.obolibrary.org/obo/HP_0003022>	"Hypoplasia of the ulna"	<http://purl.obolibrary.org/obo/MP_0004359>	"short ulna"
<http://purl.obolibrary.org/obo/HP_0100243>	"Leiomyosarcoma"	<http://purl.obolibrary.org/obo/MP_0002035>	"increased leiomyosarcoma incidence"
<http://purl.obolibrary.org/obo/HP_0011660>	"Anomalous origin of one pulmonary artery from ascending aorta"	<http://purl.obolibrary.org/obo/MP_0010456>	"hemitruncus"
<http://purl.obolibrary.org/obo/MP_0000536>	"hydroureter"	<http://purl.obolibrary.org/obo/MP_0003585>	"large ureter"
<http://purl.obolibrary.org/obo/HP_0000072>	"Hydroureter"	<http://purl.obolibrary.org/obo/MP_0003585>	"large ureter"
<http://purl.obolibrary.org/obo/HP_0002808>	"Kyphosis"	<http://purl.obolibrary.org/obo/MP_0000160>	"kyphosis"
<http://purl.obolibrary.org/obo/HP_0010999>	"Aplasia of the optic tract"	<http://purl.obolibrary.org/obo/MP_0001334>	"absent optic tract"
<http://purl.obolibrary.org/obo/HP_0001595>	"Abnormality of the hair"	<http://purl.obolibrary.org/obo/MP_0000367>	"abnormal coat/ hair morphology"
<http://purl.obolibrary.org/obo/HP_0012863>	"Abnormal male germ cell morphology"	<http://purl.obolibrary.org/obo/MP_0006362>	"abnormal male germ cell morphology"
<http://purl.obolibrary.org/obo/HP_0011902>	"Abnormal hemoglobin"	<http://purl.obolibrary.org/obo/MP_0001588>	"abnormal hemoglobin"
<http://purl.obolibrary.org/obo/HP_0010516>	"Thymus hyperplasia"	<http://purl.obolibrary.org/obo/MP_0000708>	"thymus hyperplasia"
<http://purl.obolibrary.org/obo/HP_0004231>	"Carpal bone aplasia"	<http://purl.obolibrary.org/obo/MP_0000555>	"absent carpal bone"
<http://purl.obolibrary.org/obo/HP_0000587>	"Abnormality of the optic nerve"	<http://purl.obolibrary.org/obo/HP_0001093>	"Optic nerve dysplasia"
