<http://purl.obolibrary.org/obo/MP_0005180>	"abnormal circulating testosterone level"	<http://purl.obolibrary.org/obo/MP_0011385>	"abnormal testosterone level"
<http://purl.obolibrary.org/obo/MP_0009275>	"bruising"	<http://purl.obolibrary.org/obo/MP_0009276>	"ecchymosis"
<http://purl.obolibrary.org/obo/MP_0003951>	"abnormal copper homeostasis"	<http://purl.obolibrary.org/obo/MP_0003952>	"abnormal copper level"
<http://purl.obolibrary.org/obo/MP_0004610>	"small vertebrae"	<http://purl.obolibrary.org/obo/MP_0004667>	"vertebral body hypoplasia"
<http://purl.obolibrary.org/obo/MP_0004343>	"small scapula"	<http://purl.obolibrary.org/obo/MP_0004344>	"scapular bone hypoplasia"
<http://purl.obolibrary.org/obo/MP_0011380>	"enlarged brain ventricles"	<http://purl.obolibrary.org/obo/MP_0012676>	"dilated brain ventricles"
<http://purl.obolibrary.org/obo/MP_0009864>	"abnormal aorta endothelium morphology"	<http://purl.obolibrary.org/obo/MP_0009872>	"abnormal aorta tunica intima morphology"
<http://purl.obolibrary.org/obo/MP_0002659>	"pituitary gland hypoplasia"	<http://purl.obolibrary.org/obo/MP_0008365>	"adenohypophysis hypoplasia"
<http://purl.obolibrary.org/obo/MP_0004983>	"abnormal osteoclast cell number"	<http://purl.obolibrary.org/obo/MP_0020202>	"abnormal macrophage cell number"
<http://purl.obolibrary.org/obo/MP_0013830>	"abnormal intrathoracic topology of vagus nerve"	<http://purl.obolibrary.org/obo/MP_0013837>	"abnormal vagus nerve topology"
<http://purl.obolibrary.org/obo/MP_0001145>	"abnormal male reproductive system morphology"	<http://purl.obolibrary.org/obo/MP_0009198>	"abnormal male genitalia morphology"
<http://purl.obolibrary.org/obo/MP_0002133>	"abnormal respiratory system physiology"	<http://purl.obolibrary.org/obo/MP_0002327>	"abnormal respiratory function"
<http://purl.obolibrary.org/obo/MP_0001943>	"abnormal respiration"	<http://purl.obolibrary.org/obo/MP_0002327>	"abnormal respiratory function"
<http://purl.obolibrary.org/obo/MP_0004119>	"hypokalemia"	<http://purl.obolibrary.org/obo/MP_0005628>	"decreased circulating potassium level"
<http://purl.obolibrary.org/obo/MP_0010373>	"myeloid hyperplasia"	<http://purl.obolibrary.org/obo/MP_0013663>	"increased myeloid cell number"
<http://purl.obolibrary.org/obo/MP_0003112>	"enlarged parathyroid gland"	<http://purl.obolibrary.org/obo/MP_0003493>	"parathyroid gland hyperplasia"
<http://purl.obolibrary.org/obo/MP_0002459>	"abnormal B cell physiology"	<http://purl.obolibrary.org/obo/MP_0004939>	"abnormal B cell morphology"
<http://purl.obolibrary.org/obo/MP_0002144>	"abnormal B cell differentiation"	<http://purl.obolibrary.org/obo/MP_0004939>	"abnormal B cell morphology"
<http://purl.obolibrary.org/obo/MP_0004157>	"interrupted aortic arch"	<http://purl.obolibrary.org/obo/MP_0011676>	"aortic arch obstruction"
<http://purl.obolibrary.org/obo/MP_0002144>	"abnormal B cell differentiation"	<http://purl.obolibrary.org/obo/MP_0002459>	"abnormal B cell physiology"
<http://purl.obolibrary.org/obo/MP_0003300>	"gastrointestinal ulcer"	<http://purl.obolibrary.org/obo/MP_0003301>	"peptic ulcer"
<http://purl.obolibrary.org/obo/MP_0002286>	"cryptorchism"	<http://purl.obolibrary.org/obo/MP_0011410>	"ectopic testis"
<http://purl.obolibrary.org/obo/MP_0003387>	"aorta coarctation"	<http://purl.obolibrary.org/obo/MP_0010463>	"aorta stenosis"
<http://purl.obolibrary.org/obo/MP_0004939>	"abnormal B cell morphology"	<http://purl.obolibrary.org/obo/MP_0008217>	"abnormal B cell activation"
<http://purl.obolibrary.org/obo/MP_0002459>	"abnormal B cell physiology"	<http://purl.obolibrary.org/obo/MP_0008217>	"abnormal B cell activation"
<http://purl.obolibrary.org/obo/MP_0002144>	"abnormal B cell differentiation"	<http://purl.obolibrary.org/obo/MP_0008217>	"abnormal B cell activation"
<http://purl.obolibrary.org/obo/MP_0002443>	"abnormal eosinophil differentiation"	<http://purl.obolibrary.org/obo/MP_0005061>	"abnormal eosinophil morphology"
<http://purl.obolibrary.org/obo/MP_0000367>	"abnormal coat/ hair morphology"	<http://purl.obolibrary.org/obo/MP_0003809>	"abnormal hair shaft morphology"
<http://purl.obolibrary.org/obo/MP_0001967>	"deafness"	<http://purl.obolibrary.org/obo/MP_0006325>	"impaired hearing"
<http://purl.obolibrary.org/obo/MP_0001943>	"abnormal respiration"	<http://purl.obolibrary.org/obo/MP_0002133>	"abnormal respiratory system physiology"
<http://purl.obolibrary.org/obo/MP_0002947>	"increased hemangioma incidence"	<http://purl.obolibrary.org/obo/MP_0014086>	"hemangioma"
<http://purl.obolibrary.org/obo/MP_0005627>	"increased circulating potassium level"	<http://purl.obolibrary.org/obo/MP_0012339>	"hyperkalemia"
<http://purl.obolibrary.org/obo/MP_0009406>	"decreased skeletal muscle fiber number"	<http://purl.obolibrary.org/obo/MP_0009408>	"decreased skeletal muscle fiber density"
<http://purl.obolibrary.org/obo/MP_0000111>	"cleft palate"	<http://purl.obolibrary.org/obo/MP_0009890>	"cleft secondary palate"
<http://purl.obolibrary.org/obo/MP_0001219>	"thick epidermis"	<http://purl.obolibrary.org/obo/MP_0001242>	"hyperkeratosis"
